Title,Abstract,StoreId,ArticleType,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
LOSSES AT THE BATTLE OF PEA RIDGE.,,91712363,Historical Newspapers," Copyright New York Times Company Mar 20, 1862"," 78681605 , 1445896 , 113715", front_page," Mar 20, 1862",0362-4331, English, English, 1," New York, N.Y.","Mar 20, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91712363?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=LOSSES+AT+THE+BATTLE+OF+PEA+RIDGE.%3A+NEWS+FROM+KENTUCKY.+THE+FIFTY-FIRST+PENNSYLVANIA.+REPORTED+CAPTURE+OF+YANCEY.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-03-20&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE BATTLE OF PEA RIDGE.,,91743593,Historical Newspapers," Copyright New York Times Company Mar 20, 1862"," 78681617-1 , 1445896 , 113715", article," Mar 20, 1862",0362-4331, English, English, 2," New York, N.Y.","Mar 20, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91743593?accountid=13567, 2,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+BATTLE+OF+PEA+RIDGE.%3A+INTERESTING+PARTICULARS+OF+THE+GREAT+VICTORY+OVER+THE+COMBINED+REBEL+FORCES.+THE+REBELS+BEGIN+THE+ATTACK.+THE+REPULSE.+PEA+RIDGE.+CHANGE+OF+POSITION+THE+FIGHT+RESUMED.+DEATH+OF+M%27CULLOCH.+DEVOTION+OF+AN+ARTILLERYMAN.+TERRIBLE+FIGHTING.+IE+DEFEAT+TOTAL+CAPTURES.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-03-20&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
"NATIONAL SOLDIERS TOMAHAWKED, MAN GLED AND SCALPED AT THE BATTLE OF PEA RIDGE.","The following is a copy of the correspondence between Gen. CURTIS and the rebel Gen. VAN DORN, subsequent to the battle of Pea Ridge:",91716279,Historical Newspapers," Copyright New York Times Company Mar 17, 1862"," 78681477-1 , 1445894 , 113715", article," Mar 17, 1862",0362-4331, English, English, 8," New York, N.Y.","Mar 17, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91716279?accountid=13567, 8,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=NATIONAL+SOLDIERS+TOMAHAWKED%2C+MAN+GLED+AND+SCALPED+AT+THE+BATTLE+OF+PEA+RIDGE.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-03-17&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE BATTLE AT PEA RIDGE.,"The remains of Col. HENDRICKS, of the Twenty- ninth Indiana Regiment, killed at the battle of Pea Ridge. Ark., arrived here yesterday, accompanied by his brother and two or three other gentlemen.",91713349,Historical Newspapers," Copyright New York Times Company Mar 17, 1862"," 78681476 , 1445894 , 113715", article," Mar 17, 1862",0362-4331, English, English, 8," New York, N.Y.","Mar 17, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91713349?accountid=13567, 8,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+BATTLE+AT+PEA+RIDGE.%3A+DESPERATE+NATURE+OF+THE+ENGAGEMENT.+THE+REBEL+FORCE+ESTIMATED+AT+35%2C000.+THEIR+LOSS+OVER+A+THOUSAND+KILLED%2C+AND+BETWEEN+TWO+AND+THREE+THOUSAND+WOUNDED.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-03-17&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
EXPEDITION AGAINST ISLAND NO. 10.,"A naval expedition, composed of the gunboats Benton, Louisville, Cincinnati, Carondelet and Conestoga, under Flag-Officer FOOTE, left Cairo at 7 o'clock this morning. At Columbus they were joined by the Pitsburgh, St. Louis and Mound City, and were overtaken by eight mortar boats in tow of four steamers, with transports and ordnance boats. They arrived here at 4 o'clock this afternoon.",91681886,Historical Newspapers," Copyright New York Times Company Mar 16, 1862"," 78681296 , 1445893 , 113715", front_page," Mar 16, 1862",0362-4331, English, English, 1," New York, N.Y.","Mar 16, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91681886?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=EXPEDITION+AGAINST+ISLAND+NO.+10.%3A+COMMODORE+FOOTE+GONE+DOWN+WITH+HIS+GUN+AND+MORTAR+BOATS.+THE+REBEL+FORCE+THERE+ESTIMATED+AT+FIFTEEN+THOUSAND.+ORDER+OF+GEN.+HALLECK.+GEN.+HALLECK+TO+GEN.+CURTIS.+MONITORS+FOR+MASSACHUSETTS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-03-16&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE BATTLE OF PEA RIDGE.,"A special to the Republican says: ""A messenger arrived at 10 o'clock last night bringing additional news of the battle.",91643006,Historical Newspapers," Copyright New York Times Company Mar 14, 1862"," 78681169 , 1445891 , 113715", article," Mar 14, 1862",0362-4331, English, English, 8," New York, N.Y.","Mar 14, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91643006?accountid=13567, 8,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+BATTLE+OF+PEA+RIDGE.%3A+FURTHER+INTERESTING+PARTICULARS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-03-14&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
BATTLE OF PEA RIDGE.,The following is the official report of Gen. CURTIS to Gen. HALLECK:,91729893,Historical Newspapers," Copyright New York Times Company Mar 12, 1862"," 78680949-1 , 1445890 , 113715", front_page," Mar 12, 1862",0362-4331, English, English, 1," New York, N.Y.","Mar 12, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91729893?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=BATTLE+OF+PEA+RIDGE.%3A+OFFICIAL+REPORT+OF+GEN.+CURTIS+TO+GEN.+HALLECK.+BEN+MCCULLOH+KILLED.+BRILLIANT+MANOEUVRES+BY+THE+UNION+ARMY.+DESPERATE+FIGHTING+ON+BOTH+SIDES.+FINAL+ROUT+OF+THE+REBELS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-03-12&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE LOCATION OF THE BATTLE.,"The location of the battle can be seen from any ordinary map of Arkansas, or of the United States. It was in the extreme northwestern part of the State, and in the northwesternmost county (Benton.) A range of hills (of the Ozark range) will be seen sweep [Continued on Eighth Page.]",91723363,Historical Newspapers," Copyright New York Times Company Mar 12, 1862"," 78680951 , 1445890 , 113715", front_page," Mar 12, 1862",0362-4331, English, English, 1," New York, N.Y.","Mar 12, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91723363?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+LOCATION+OF+THE+BATTLE.%3A+THE+BATTLE+OF+PEA+RIDGE.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-03-12&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
GEN. CURTIS.,"Maj.-Gen. SAMUEL R. CURTIS, who comes so prominently before the public in connection with the battte and victory of Pea Ridge, is a native of Ohio, and a man of 54 years of age. He was a resident of New-York when, as a Cadet, he, in 1827, entered West Point; he was breveted Second Lieutenant Seventh Infantry, 1831, and next year resigned from the army. He devoted himself to the law and to civil engineering, and in 1837-9 was Chief Engineer of the Muskingum River improvement.",91716896,Historical Newspapers," Copyright New York Times Company Mar 12, 1862"," 78681061 , 1445890 , 113715", article," Mar 12, 1862",0362-4331, English, English, 8," New York, N.Y.","Mar 12, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91716896?accountid=13567, 8,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=GEN.+CURTIS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-03-12&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
ANOTHER GREAT BATTLE.,"The following is an official dispatch to Maj.-Gen. McCLELLAN: The army of the Southwest, under Gen. Curtis, after three days' hard fighting, has gained a most glorious victory over the combined forces of Van Dorn, McCulloch, Price and McIntosh. Our loss in killed and wounded is estimated at one thou- sand! That of the enemy was still larger. Guns, flags, provisions, &amp;c., were captured in large quantities. Our cavalry are in pursuit of the flying enemy. (Signed)",91722829,Historical Newspapers," Copyright New York Times Company Mar 11, 1862"," 78680831-1 , 1445889 , 113715", front_page," Mar 11, 1862",0362-4331, English, English, 1," New York, N.Y.","Mar 11, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91722829?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=ANOTHER+GREAT+BATTLE.%3A+A+MOST+GLORIOUS+VICTORY+IN+ARKANSAS.+THE+COMBINED+REBEL+ARMY+UNDER+PRICE%2C+MCCULLOCH%2C+VAN+DORN%2C+AND+MCINTOSH%2C+DEFEATED.+A+DESPERATE+BATTLE%2C+LASTING+THREE+DAYS.+FINAL+ROUT+OF+THE+ENEMY.+OUR+CAVALRY+IN+FULL+PURSUIT.+CAPTURE+OF+GUNS%2C+FLAGS%2C+PROVISIONS%2C+%26C.%2C+IN+LARGE+QUANTITIES.+OUR+LOSS+IN+KILLED+AND+WOUNDED+ONE+THOUSAND.+THAT+OF+THE+ENEMY+STILL+LARGER.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-03-11&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
