Title,Abstract,StoreId,ArticleType,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
OUR JACKSONVILLE CORRESPONDENCE.,"Gen. SEYMOUR'S forces still remain in front of Jacksonville. The vedettes are about a mile beyond Camp Finegan, and nine miles from the turn itself. The troops have entirely recovered from the slight ...",91744809,Historical Newspapers," Copyright New York Times Company Mar 8, 1864"," 78718659 , 1446261 , 113715", front_page," Mar 8, 1864",0362-4331, English, English, 1," New York, N.Y.","Mar 8, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91744809?accountid=10747, 1,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=OUR+JACKSONVILLE+CORRESPONDENCE.%3A+POSITIONS+HELD+BY+OUR+FORCES+THE+TROOPS+IN+GOOD+SPIRITS+CAVALRY+SKIRMISH+FLAGS+OF+TRUCE-CASUALTIES.+THE+FORTIFICATIONS+A+CAVALRY+SKIRMISH%2C+FLAGS+OF+TRUCE.+OUR+WOUNDED+GEN.+GILLMORE%2C+DEPARTMENT+OF+THE+SOUTH.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1864-03-08&amp;volume=&amp;issue=&amp;spage=1&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
DEPARTMENT OF THE SOUTH.,"The United States transport Arago, HENRY A. GADSEN, commanding, from Hilton Head, S.C., at 10 A.M., and Charleston Bar 5 P.M., Friday, March 4, with mails from Port Royal and S.A. Blockading Fleet, consigned to Maj. STEWART VAN VLIET, Quartermaster U.S.A., arrived here at 10:30 o'clock yesterday morning.",91792733,Historical Newspapers," Copyright New York Times Company Mar 8, 1864"," 78718658 , 1446261 , 113715", front_page," Mar 8, 1864",0362-4331, English, English, 1," New York, N.Y.","Mar 8, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91792733?accountid=10747, 1,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=DEPARTMENT+OF+THE+SOUTH.%3A+THE+SITUATION+IN+FLORIDA.+OUR+FORCES+SECURELY+INTRENCHED+NEAR+JACKSONVILLE.+HEAVY+REINFORCEMENTS+SENT+TO+THEM%2C+ENORMOUS+LOSSES+OF+THE+REBELS+AT+OLUSTEE.+FURTHER+LIST+OF+UNION+CASUALTIES.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1864-03-08&amp;volume=&amp;issue=&amp;spage=1&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
LIST OF CASUALTIES AT THE BATTLE OF OLUSTEE.,,91803259,Historical Newspapers," Copyright New York Times Company Mar 8, 1864"," 78718728 , 1446261 , 113715", article," Mar 8, 1864",0362-4331, English, English, 8," New York, N.Y.","Mar 8, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91803259?accountid=10747, 8,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=LIST+OF+CASUALTIES+AT+THE+BATTLE+OF+OLUSTEE.%3A+SEVENTH+CONNECTICUT+VOLUNTEERS.+RECAPITULATION.+RECAPITULATION.+EIGHTH+UNITED+STATES+COLORED+TROOPS.+FIELD+AND+STAFF.+RECAPITULATION.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1864-03-08&amp;volume=&amp;issue=&amp;spage=8&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
The Florida Expedition.,The Opposition newspapers are making a good deal of clamor against the Administration on account of the recent disastrous expedition into Florida under Gen. SEYMOUR.,91805333,Historical Newspapers," Copyright New York Times Company Mar 7, 1864"," 78718579 , 1446260 , 113715", article," Mar 7, 1864",0362-4331, English, English, 4," New York, N.Y.","Mar 7, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91805333?accountid=10747, 4,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=The+Florida+Expedition.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1864-03-07&amp;volume=&amp;issue=&amp;spage=4&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
FROM THE SOUTH.,"We have received files of Richmond papers as late as March 2, from which we make some important extracts, together with other interesting matter from our previous files.",91848982,Historical Newspapers," Copyright New York Times Company Mar 6, 1864"," 78718482 , 1446259 , 113715", article," Mar 6, 1864",0362-4331, English, English, 2," New York, N.Y.","Mar 6, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91848982?accountid=10747, 2,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=FROM+THE+SOUTH.%3A+ADVICES+FROM+RICHMOND+TO+MARCH+2.+REBEL+ACCOUNT+OF+THE+BATTLE+OF+OLUSTEE.+EFFECT+OF+GEN.+SHERMAN%27S+MARCH+ON+THE+COUNTRY.+LATE+OPERATIONS+IN+VIRGINIA+AND+GEORGIA.+THE+REBEL+PRESS+ON+POLITICS%2C+FINANCE+AND+WAR.+REBEL+ACCOUNT+OF+THE+BATTLE+OF+OLUSTEE.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1864-03-06&amp;volume=&amp;issue=&amp;spage=2&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
THE REPULSE IN FLORIDA,"The entire column, numbering a little less than 5,000 men, left Barber's at 7 o'clock Saturday morning, and proceeded on the main road toward Lake City.",91876596,Historical Newspapers," Copyright New York Times Company Mar 1, 1864"," 78717946 , 1446254 , 113715", front_page," Mar 1, 1864",0362-4331, English, English, 1," New York, N.Y.","Mar 1, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91876596?accountid=10747, 1,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=THE+REPULSE+IN+FLORIDA%3A+A+FULL+ACCOUNT+OF+THE+LATE+BATTLE.+OUR+FORCES+LED+INTO+A+TRAP.+FIVE+THOUSAND+COME+SUDDENLY+UPON+FIFTEEN+THOUSAND.+TERRIBLE+ORDEAL+OF+HAMILTON%27S+BATTERY.+FORTY+MEN+AND+FORTY+HORSES+LOST+IN+TWENTY+MINUTES.+HEROIC+FIGHTING+AGAINST+OVERWHELMING+ODDS.A+VERY+FULL+LIST+OF+THE+CASUALTIES.+OUR+FORCES+ENTRENCHING+THEMSELVES+NEAR+JACKSONVILLE.+THE+MARCH.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1864-03-01&amp;volume=&amp;issue=&amp;spage=1&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
NEWS FROM WASHINGTON.,"Private letters from Hilton Head lay the whole blame of the recent disaster in Florida upon Gen. SEYMOUR, who disobeyed orders in advancing beyond a certain point, which he was ordered by Gen. GILLMORE to hold, and to await the attack of the enemy. Our losses are stated to be larger than at first supposed.",91874695,Historical Newspapers," Copyright New York Times Company Feb 29, 1864"," 90529677 , 1524397 , 113715", front_page," Feb 29, 1864",0362-4331, English, English, 1," New York, N.Y.","Feb 29, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91874695?accountid=10747, 1,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=NEWS+FROM+WASHINGTON.%3A+SPECIAL+DISPATCHES+TO+THE+N.Y.+TIMES.+THE+REPULSE+IN+FLORIDA.+THE+HIBERNIAN+OUTWARD+BOUND.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1864-02-29&amp;volume=&amp;issue=&amp;spage=1&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
THE REVERSE IN FLORIDA.,"Concerning the reverse in Florida, (of which the TIMES yesterday had the only account, meagre and unsatisfactory though it was,) we learn in addition the following, which is interesting:",91801239,Historical Newspapers," Copyright New York Times Company Feb 28, 1864"," 86959986 , 1506139 , 113715", front_page," Feb 28, 1864",0362-4331, English, English, 1," New York, N.Y.","Feb 28, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91801239?accountid=10747, 1,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=THE+REVERSE+IN+FLORIDA.%3A+GEN.+SEYMOUR+UNDER+ARREST--GEN.+VODGES+IN+COMMAND--FURTHER+PARTICULARS+OF+THE+BATTLE--OUR+FORCES+CAUGHT+IN+A+TRAP--+THE+FORTY-EIGHTH+NEW-YORK%2C+%26C.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1864-02-28&amp;volume=&amp;issue=&amp;spage=1&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
The Real Military Importance of Florida.,"The rebels certainly have a faculty of turning up where they are not expected; and the late blow they have delivered--namely, at our force in Florida--is the most unexpected of all. Everybody agrees that Florida has no...",91807549,Historical Newspapers," Copyright New York Times Company Feb 28, 1864"," 86960034 , 1506139 , 113715", article," Feb 28, 1864",0362-4331, English, English, 4," New York, N.Y.","Feb 28, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91807549?accountid=10747, 4,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=The+Real+Military+Importance+of+Florida.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1864-02-28&amp;volume=&amp;issue=&amp;spage=4&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
HIGHLY IMPORTANT.,"The steamship Fulton, Capt. WOTTON, from Port Royal on Wednesday last, arrived here at a late hour last night, bringing information of a sad reverse to our expedition, under Gen. SEYMOUR, in Florida.",91832842,Historical Newspapers," Copyright New York Times Company Feb 27, 1864"," 82014308 , 1470617 , 113715", article," Feb 27, 1864",0362-4331, English, English, 3," New York, N.Y.","Feb 27, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91832842?accountid=10747, 3,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=HIGHLY+IMPORTANT.%3A+SEVERE+REVERSE+TO+THE+FLORIDA+EXPEDITION.+STUBBORN+BATTLE+ON+THE+20TH+NEAR+SANDERSON.+OUR+FORCES+OVERPOWERED+BY+NUMBERS+AND+COMPELLED+TO+RETREAT.+THE+LOSSES+ESTIMATED+AT+FROM+500+TO+1%2C200.+MOST+OF+THE+WOUNDED+BROUGHT+OF+THE+FIELD.+DETAILS+OF+THE+DISASTER+SUPPRESSED+THE+UNITED+STATES+SLOOP-OF-WAR+HOUSATONIC+DESTROYED+BY+A+TORPEDO.+TWO+OFFICERS+AND+THREE+OF+THE+CREW+DROWNED.+SUCCESSFUL+MOVEMENT+TOWARD+SAVANNAH.+AN+ADVANCE+TOWARD+SAVANNAH.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1864-02-27&amp;volume=&amp;issue=&amp;spage=3&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
