Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
The Reduction of Fort Pulaski Its Lesson and Importance.,"The whole country has been somewhat led astray by an item of news coming via Fortress Monroe, which was relied upon as correct because bearing the sanction of Government censorship. The Seminole, on arriving there from the South, was reported as authentically announcing that the garrison of Fort Pulaski had offered to surrender the fort if they could be allowed to retire with the honors of war, and that the proposal had been rejected by Gen. SHERMAN. It was further stated that the unconditional surrender of the fort was daily expected. Both these assertions prove to have been untrue.",91633922,Historical Newspapers,," Copyright New York Times Company May 4, 1862"," 78687904 , 1445947 , 113715", editorial_article," May 4, 1862",0362-4331, English, English, 4," New York, N.Y.","May 4, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91633922?accountid=10747, 4,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=The+Reduction+of+Fort+Pulaski+Its+Lesson+and+Importance.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1862-05-04&amp;volume=&amp;issue=&amp;spage=4&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
IMPORTANT FROM THE SOUTH,"The weather to-day is warm and clear, and highly favorable for the operations of the army. Three or four rebel boats made their appearance off Sewell's Point this morning, and seemed to be placing buoys to mark the channel.",91734612,Historical Newspapers,," Copyright New York Times Company May 3, 1862"," 78687759 , 1445946 , 113715", front_page," May 3, 1862",0362-4331, English, English, 1," New York, N.Y.","May 3, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91734612?accountid=10747, 1,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=IMPORTANT+FROM+THE+SOUTH%3A+THE+QUESTION+OF+FOOD+BEGINNING+TO+BE+AGITATED+CURIOUS+HINTS+ABOUT+THE+MERRIMAC.+EXECUTION+OF+A+NATIONAL+SPY+AT+RICHMOND.+REBEL+VERSIONS+OF+NATIONAL+VICTORIES.+THE+CAPTURE+OF+FORT+PULASKI+AND+ISLAND+TEN.+SWEEPING+CONSCRIPTION+OF+NEGROES.+THE+ORGANIZATION+OF+GUERRILLA+BANDS+AUTHORIZED.+OUR+DISPATCH+FROM+FORTRESS+MONROE.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1862-05-03&amp;volume=&amp;issue=&amp;spage=1&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
NEWS FROM THE REBEL PAPERS.,"By way of Fortress Monroe, we have Petersburgh, Richmond, and Norfolk papers as late as April 29, from which we make the following extracts:",91747647,Historical Newspapers,," Copyright New York Times Company May 3, 1862"," 78687760 , 1445946 , 113715", front_page," May 3, 1862",0362-4331, English, English, 1," New York, N.Y.","May 3, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91747647?accountid=10747, 1,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=NEWS+FROM+THE+REBEL+PAPERS.%3A+THE+FALL+OF+FORT+PULASKI.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1862-05-03&amp;volume=&amp;issue=&amp;spage=1&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
TROPHIES FROM PULASKI.,,91726501,Historical Newspapers,," Copyright New York Times Company Apr 27, 1862"," 78686841 , 1445936 , 113715", article," Apr 27, 1862",0362-4331, English, English, 8," New York, N.Y.","Apr 27, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91726501?accountid=10747, 8,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=TROPHIES+FROM+PULASKI.%3A+GEN.+BENHAM+HAS+WRITTEN+THE+FOLLOWING+NOTE+TO+MRS.+HARRISON+GRAY+OTIS%2C+OF+BOSTON%3A&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1862-04-27&amp;volume=&amp;issue=&amp;spage=8&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
OPERATIONS BELOW SAVANNAH.,"On the 8th of April, Gen. HUNTER and Staff went ashore on Tybee Island; it was intended to open fire the next morning, but a delay of one day was found necessary. Gen. HUNTER did not take up his headquarters ashore, though he visited the batteries.",91725539,Historical Newspapers," From Our Own Correspondent.
From Our Own Correspondent."," Copyright New York Times Company Apr 27, 1862"," 78686840 , 1445936 , 113715", article," Apr 27, 1862",0362-4331, English, English, 8," New York, N.Y.","Apr 27, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91725539?accountid=10747, 8,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=OPERATIONS+BELOW+SAVANNAH.%3A+INTERESTING+NARRATIVE+OF+THE+SIEGE+AND+CAPTURE+OF+FORT+PULASKI.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1862-04-27&amp;volume=&amp;issue=&amp;spage=8&amp;au=From+Our+Own+Correspondent.&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
OPERATIONS BELOW SAVANNAH.,"SIR: I have the honor to submit the following report of the operations of the troops under my command, in connection with the investment and reduction of Fort Pulaski:",91767114,Historical Newspapers,," Copyright New York Times Company Apr 24, 1862"," 78686457 , 1445933 , 113715", article," Apr 24, 1862",0362-4331, English, English, 2," New York, N.Y.","Apr 24, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91767114?accountid=10747, 2,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=OPERATIONS+BELOW+SAVANNAH.%3A+THE+BOMBARDMENT+OF+FORT+PULASKI.+REPORT+OF+BRIG.-GEN+E.L.+VIELE.+HEADQUARTERS+UNITED+STATES+FORCES%2C&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1862-04-24&amp;volume=&amp;issue=&amp;spage=2&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
REPORT OF BRIG.-GEN. BENHAM.,"SIR: I have the honor to report the conclusion of the operations of the siege of Fort Pulaski, in Savannah River, Ga., which have resulted in the capture of that fortress and its armament, and the unconditional surrender of the effective force of the garrison, amounting to 361, of whom 24 were officers; beside about 18 who were sick or wounded.",91735926,Historical Newspapers,," Copyright New York Times Company Apr 21, 1862"," 82012309 , 1470587 , 113715", article," Apr 21, 1862",0362-4331, English, English, 2," New York, N.Y.","Apr 21, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91735926?accountid=10747, 2,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=REPORT+OF+BRIG.-GEN.+BENHAM.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1862-04-21&amp;volume=&amp;issue=&amp;spage=2&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
THE FALL OF FORT PULASKI.,"SIR: The flag of our country waves our Fort Fulaski, I summoned the garrison to surrender, at sunrise, on the morning of the 10th inst. Immediately on receiving their refusal, at 8 A.M., we opened fire, the bombardment continuing, without intermission, for thirty hours. At the end of eighteen hours' firing, the fort was breached in the southeast angle; and at the moment of surrender, 2 o'clock P.M., on the 1lth instant, we had commenced preparations for storming.",91730016,Historical Newspapers,," Copyright New York Times Company Apr 21, 1862"," 82012308 , 1470587 , 113715", article," Apr 21, 1862",0362-4331, English, English, 2," New York, N.Y.","Apr 21, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91730016?accountid=10747, 2,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=THE+FALL+OF+FORT+PULASKI.%3A+OFFICIAL+HISTORY+OF+THE+BOMBARDMENT+AND+SURRENDER.+THE+REPORTS+OF+MAJ-GEN.+HUNTER+AND+BRIG.-GEN.+BENHAM.+REPORT+OF+MAJ.-GEN.+HUNTER.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1862-04-21&amp;volume=&amp;issue=&amp;spage=2&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
FROM THE SOUTH.,"The telegraph has informed you of the surrender of Fork Pulaski, and the consequent state of excitement you can well imagine. The evening of Friday passed in suspense, but no fear was felt that the gallantry of the garrison had caused the silence of the enemy's guns, which had not been heard since 2 P.M. yesterday.",91739258,Historical Newspapers,," Copyright New York Times Company Apr 20, 1862"," 78686108 , 1445930 , 113715", front_page," Apr 20, 1862",0362-4331, English, English, 1," New York, N.Y.","Apr 20, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91739258?accountid=10747, 1,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=FROM+THE+SOUTH.%3A+THE+FALL+OF+FORT+PULASKI.+GREAT+CONSTERNATION+IN+SAVANNAH.+MORE+ABOUT+THE+BATTLE+OF+SHILOH.+THE+DEMONSTRATION+AGAINST+NEW-ORLEANS.+REPORTS+OF+THE+BOMBARDMENT+OF+ISLAND+TEN.+MISCELLANEOUS+ITEMS.+THE+FALL+OF+FORT+PULASKI.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1862-04-20&amp;volume=&amp;issue=&amp;spage=1&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
FORT PULASKI BEFORE THE BOMBARDMENT.,"The Union battery on King's Landing, directly opposite to Fort Pulaski, mounts ten 13-inch mortars, two columbiads, and four rifled cannon, throwing either shot or shell. This battery will be by far the most effective in the coming bombardment, which may open now at any time.",91735409,Historical Newspapers,," Copyright New York Times Company Apr 20, 1862"," 78686136 , 1445930 , 113715", article," Apr 20, 1862",0362-4331, English, English, 3," New York, N.Y.","Apr 20, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91735409?accountid=10747, 3,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=FORT+PULASKI+BEFORE+THE+BOMBARDMENT.%3A+CORRESPONDENCE+OF+THE+RICHMOND+DISPATCH.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1862-04-20&amp;volume=&amp;issue=&amp;spage=3&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
