Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
NEWS FROM WASHINGTON.,"The Congressional meeting held in the Capitol to-day, to organize an opposition to the ultra-Abolition measures proposed in Congress, was attended by about fifty members. This was a much fuller attendance than was generally expected, and the movement becomes more formidable, if it be true, as I am informed, that many more sympathize with it than were present at the meeting.",91693292,Historical Newspapers,," Copyright New York Times Company May 11, 1862"," 78688522 , 1445954 , 113715", article," May 11, 1862",0362-4331, English, English, 5," New York, N.Y.","May 11, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91693292?accountid=13567, 5,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=NEWS+FROM+WASHINGTON.%3A+THE+MEETING+OF+CONSERVATIVE+CONGRESSMEN.+THE+OBJECTS+OF+THE+MOVEMENT.+APPOINTMENT+OF+A+COMMITTEE+TO+SUBMIT+A+BASIS+OF+ACTION.+ACKNOWLEDGMENT+FROM+THE+NAVY+DEPARTMENT+TO+COMMODORE+FARRAGUT.+TROPHIES+FROM+FORT+JACKSON.+THE+MEETING+OF+CONSERVATIVE+CONGRESSMEN.+FEARS+IN+WASHINGTON.+STILL+ABSENT.+ENTERPRISE+SHOULD+BE+REWARDED.+ACKNOWLEDGMENT+FROM+THE+NAVY+DEPARTMENT+TO+COMMODORE+FARRAGUT.+KILLED+AT+NEW-ORLEANS.+MAILS+FOR+NEW-ORLEANS.+THE+MILITARY+COMMITTEE+ANK+GEN.+SMITH.+NAVAL+ORDERS.+THE+EMILY+ST.+PIERRE.+RELEASED.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-05-11&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=5&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
FROM CAIRO AND BELOW.,"Steamer B. arrived from the fleet early this morning, but reports no material change in the position of affairs at Fort Pillow.",175257701,Historical Newspapers,," Copyright Chicago Tribune Co. May 10, 1862"," 582025742 , 6660962 , 53853", front_page," May 10, 1862",, English, English, 0_1," Chicago, Ill.","May 10, 1862",Chicago Tribune (1860-1872),1862,http://search.proquest.com/docview/175257701?accountid=13567, 0_1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpchicagotribune&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=Chicago+Tribune+%281860-1872%29&amp;rft.atitle=FROM+CAIRO+AND+BELOW.%3A+INTERESTING+SOUTHERN+NEWS.+JEFF.+DAVIS+APPOINTS+A+FAST-DAY.+COTTON+BURNING+AT+NEW+ORLEANS.+HOW+FORT+JACKSON+WAS+TAKEN.+REBELS+CONCENTRATING+AT+CORINTH+WARM+WORK+AT+FORT+PILLOW.+REBEL+CAVALRY+AT+DRESDEN%2C+TENN.+LATE+NEWS+FROM+THE+SOUTH.+WAR+NEWS+FROM+CAIRO.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-05-10&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=0_1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Chicago+Tribune+%281860-1872%29&amp;rft.issn=,ProQuest Historical Newspapers: Chicago Tribune (1849-1989)
IMPORTANT FROM NEW-ORLEANS.,"SIR: I am happy to announce to you that our flag waves over both Forts Jackson and St. Philip and at New-Orleans, over the Custom-house. I am taking every means to secure the occupation by Gen. BUTLER of all the forts along the coast. Berwick's Bay and Fort Pike have been abandoned; in fact there is a general stampede. I shall endeavor to follow it up. I am bringing up the troops as fast as possible. We have destroyed all the forts above the city, four in number, white are understood to be all the impediments between this and Memphis.",91671749,Historical Newspapers,," Copyright New York Times Company May 10, 1862"," 78688472-1 , 1445953 , 113715", article," May 10, 1862",0362-4331, English, English, 8," New York, N.Y.","May 10, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91671749?accountid=13567, 8,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=IMPORTANT+FROM+NEW-ORLEANS.%3A+FURTHER+DETAILS+OF+THE+GREAT+VICTORY+GREAT+OBSTACLES+OVERCOME+BY+THE+SPUADRON+IN+APPROACHING+THE+CITY.OFFICIAL+REPORTS+TO+THE+NAVY+DEPARTMENTREPORT+OF+COMMODORE+FARRAGUT.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-05-10&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE CAPTURE OF NEW-ORLEANS,"To Hon. Gideon Welles, Secretary of the Navy: I have the honor to announce that in the providence of God, which smiles upon a just cause, the squadron under Flagofficer FARRAGUT has been vouchsafed a glorious victory and triumph in the capture of the city of New-Orleans, Forts Jackson, St. Philip, Livingston and Pike, the batteries below and above NewOrleans as well as the total destruction of the enemy's gunboats, steam-rams, floating batteries, (iron-clad,) firecrafts, and obstructions, booms and chains.",91730289,Historical Newspapers,," Copyright New York Times Company May 9, 1862"," 78688219 , 1445951 , 113715", front_page," May 9, 1862",0362-4331, English, English, 1," New York, N.Y.","May 9, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91730289?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+CAPTURE+OF+NEW-ORLEANS%3A+ARRIVAL+OF+A+BEARER+OF+DISPATCHES+AT+FORTRESS+MONROE.+FORTS+JACKSON%2C+ST.+PHILIP%2C+LIVINGSTON%2C+AND+PIKE+IN+OUR+POSSESSION.+THE+MISSISSIPPI+OPEN+FROM+THE+GULF+TO+BATON+ROUGE%2C+AND+PROBABLY+TO+MEMPHIS.+FROM+EIGHT+TO+TEN+MILLIONS+WORTH+OF+COTTON+AND+SHIPPING+DESTROYED+BY+THE+REBELS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-05-09&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
OPERATIONS BELOW NEW-ORLEANS.,"The following documents give a complete idea of the operations of the mortar fleet. They are furnished by our Special Correspondent, whose letters we published yesterday morning:",91763990,Historical Newspapers,," Copyright New York Times Company May 9, 1862"," 78688222 , 1445951 , 113715", front_page," May 9, 1862",0362-4331, English, English, 1," New York, N.Y.","May 9, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91763990?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=OPERATIONS+BELOW+NEW-ORLEANS.%3A+WORK+OF+THE+MORTAR+FLEET+DURING+THE+BOMBARDMENT+OF+FORTS+JACKSON+AND+ST.+PHILLIP.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-05-09&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE CAPTURE OF NEW-ORLEANS,"By the arrival of the steamship Columbia, Capt. Adams, we have the first Union accounts of the ... of Forte Jackson and St. Philip, the capture of New-Orleans, and the destruction of the Rebel navy. We are indebted to the Purser of the Columbia for forwarding the interesting advices given...",570584687,Historical Newspapers,," Copyright IHT Corporation May 8, 1862"," 1481419032 , 23805600 , 73093", front_page," May 8, 1862",, English, English,," New York, N.Y.","May 8, 1862",New - York Daily Tribune (1842-1866),1862,http://search.proquest.com/docview/570584687?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktribunefull&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+-+York+Daily+Tribune+%281842-1866%29&amp;rft.atitle=THE+CAPTURE+OF+NEW-ORLEANS%3A+FULL+PARTICULARS+FORTS+JACKSON+AND+ST.+PHILIP+BOMBARDED+6+DAYS+AND+5+NIGHTS+THE+FORTS+SILENCED+ELEVEN+REBEL+GUNBOATS+DESTROYED+BY+OUR+NAVY+TERRIFIC+NAVAL+COMBAT+TWO+OF+OUR+GUNBOATS+SUNK+THE+U.+L+GUNBOAT+VERONA+AND+THE+REBEL+STEAMER+WEBSTER+SUNK+TOGETHER+GUNBOAT+M.+J.+CARLTON+SUNK+BY+THE+FORTS+THE+RAM+MANASSAS+SUNK+BY+THE+FRIGATE+MISSISSIPPI+OUR+LOSS+114+400+REBEL+PRISONERS+TERRIFIC+BOMBARDMENT+OF+FORTS+JACKSON+AND+ST.+PHILIP%2C+ON+THE+MISSISSIPPI+THE+SUMMONS+TO+SURRENDER+EFFECT+OF+THE+FALL+OF+NEW-ORLEANS+UPON+SECESHERS+AT+HAVANA&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-05-08&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+-+York+Daily+Tribune+%281842-1866%29&amp;rft.issn=,ProQuest Historical Newspapers: New York Tribune / Herald Tribune  (1841-1962)
THE CAPTURE OF NEW-ORLEANS,"The work of reducing the rebel strongholds will be commenced this morning. How long the struggle will be prolonged no one is able to prophesy. We all know that a formidable task is before us; that desperate men, fighting for the last stake, are our opponents. But of our ultimate success every body is confident.",91675681,Historical Newspapers,," Copyright New York Times Company May 8, 1862"," 78688143-1 , 1445950 , 113715", article," May 8, 1862",0362-4331, English, English, 5," New York, N.Y.","May 8, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91675681?accountid=13567, 5,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+CAPTURE+OF+NEW-ORLEANS%3A+FULL+DETAILS+FROM+OUR+SPECIAL+CORRESPONDENT.+A+SIX+DAYS%27+BOMBARDMENT.+FIVE+SLOOPS+OF+WAR+AND+NINE+GUNBOATS+RUN+THE+GAUNTLET+OF+THE+FORTS.+DESPERATE+COMBAT+BETWEEN+THE+GUN-+BOATS+VARUNA+AND+WEBSTER.+HOW+THE+CHAIN+CABLES+AND+FIRE+RAFTS+WERE+DISPOSED+OF.+THE+RAM+MANASSAS+DEMOLISHED+BY+THE+FRIGATE+MISSISSIPPI.+ELEVEN+REBEL+GUNBOATS+DESTROYED.+FOUR+HUNDRED+REBELS+TAKEN+PRISONERS%2CAN+INTERESTING+AND+GRAPHIC+LETTER+FROMCOMMODORE+FARRAGUT.+REFUSAL+OF+THE+FORT+TO+SURRENDERUNCONDITIONALLY.+THE+CAPTURE+OF+NEW-ORLEANS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-05-08&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=5&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE EXPEDITION TO NEW-ORLEANS.,,91669507,Historical Newspapers,," Copyright New York Times Company May 8, 1862"," 78688144 , 1445950 , 113715", article," May 8, 1862",0362-4331, English, English, 5," New York, N.Y.","May 8, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91669507?accountid=13567, 5,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+EXPEDITION+TO+NEW-ORLEANS.%3A+MAP+SHOWING+THE+SITUATION+OF+THE+REBEL+FORTS+ON+THE+LOWER+MISSISSIPPI%2C+AND+THE+POSITION+OF+OUR+GUN+AND+MORTAR+BOATS+ON+THE+RIVER+WHILE+PLAYING+UPON+THEM.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-05-08&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=5&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
DESCRIPTION OF THE FORTS.,"Fort Jackson, which is by far the stronger work, is a regular pentagonal bastioned fortification, having two fronts bearing on the river, and three on the land side. The land fronts have each a glacis and covered way, and the channel is commanded by a battery of twenty-five guns.",91657057,Historical Newspapers,," Copyright New York Times Company May 8, 1862"," 78688199 , 1445950 , 113715", article," May 8, 1862",0362-4331, English, English, 12," New York, N.Y.","May 8, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91657057?accountid=13567, 12,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=DESCRIPTION+OF+THE+FORTS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-05-08&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=12&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE CAPTURE OF NEW ORLEANS.,"For the first time since it was built, Fort Jackson--one of the strongest defenses of the Mississippi river below the city--was, on Sunday last ""under fire.""",175264302,Historical Newspapers,," Copyright Chicago Tribune Co. May 2, 1862"," 582017742 , 6660892 , 53853", front_page," May 2, 1862",, English, English, 0_1," Chicago, Ill.","May 2, 1862",Chicago Tribune (1860-1872),1862,http://search.proquest.com/docview/175264302?accountid=13567, 0_1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpchicagotribune&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=Chicago+Tribune+%281860-1872%29&amp;rft.atitle=THE+CAPTURE+OF+NEW+ORLEANS.%3A+INTERESTING+REBEL+ACCOUNTS.+HOW+FORT+JACKSON+WAS+BOMBARDED.+GEN.+LOVELL%27S+OFFICIAL+DISPATCHES.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-05-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=0_1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Chicago+Tribune+%281860-1872%29&amp;rft.issn=,ProQuest Historical Newspapers: Chicago Tribune (1849-1989)
