Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
THE BATTLE AT WILSON'S CREEK.,,91622889,Historical Newspapers,," Copyright New York Times Company Aug 24, 1861"," 78665246 , 1445745 , 113715", article," Aug 24, 1861",0362-4331, English, English, 3," New York, N.Y.","Aug 24, 1861",New York Times (1857-1922),1861,http://search.proquest.com/docview/91622889?accountid=13567, 3,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+BATTLE+AT+WILSON%27S+CREEK.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1861-08-24&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=3&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
GEN. LYON.,,91626991,Historical Newspapers,," Copyright New York Times Company Aug 24, 1861"," 78665247 , 1445745 , 113715", article," Aug 24, 1861",0362-4331, English, English, 3," New York, N.Y.","Aug 24, 1861",New York Times (1857-1922),1861,http://search.proquest.com/docview/91626991?accountid=13567, 3,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=GEN.+LYON.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1861-08-24&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=3&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
IMPORTANT FROM MISSOURI.,"The correspondent of the St. Louis Democrat learns that Gen. PRENTISS has been assigned to the command of a division, embracing the several points in this vicinity, viz.: Cape Girardeau, Cairo, and Bird's Point.",91642836,Historical Newspapers,," Copyright New York Times Company Aug 23, 1861"," 78665113-1 , 1445744 , 113715", front_page," Aug 23, 1861",0362-4331, English, English, 1," New York, N.Y.","Aug 23, 1861",New York Times (1857-1922),1861,http://search.proquest.com/docview/91642836?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=IMPORTANT+FROM+MISSOURI.%3A+MOVEMENTS+OF+THE+REBEL+FORCES.+PROCLAMATION+OF+BEN+MCCULLOCH.+THE+LATE+BATTLE+AT+WILSON%27S+CREEK.+TROOPS+TO+JOIN+GEN.+PRICE.+FROM+ST.+LOUIS.+RELEASE+OF+JOHN+A.+BROWNLEE.+HONOR+TO+THE+BRAVE.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1861-08-23&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE BATTLE AT WILSON'S CREEK.,The St. Louis papers publish official documents regarding the recent battle at Wilson's Creek. The following is the list of killed and wounded in the FIRST MISSOURI REGIMENT OF VOLUNTEERS.,91625800,Historical Newspapers,," Copyright New York Times Company Aug 22, 1861"," 82398140 , 1474702 , 113715", article," Aug 22, 1861",0362-4331, English, English, 2," New York, N.Y.","Aug 22, 1861",New York Times (1857-1922),1861,http://search.proquest.com/docview/91625800?accountid=13567, 2,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+BATTLE+AT+WILSON%27S+CREEK.%3A+OFFICIAL+REPORTS+NAMES+OF+THE+KILLED+AND+WOUNDED.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1861-08-22&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE RECENT BATTLE AT WILSON'S CREEK MISSOURI.,,91636086,Historical Newspapers,," Copyright New York Times Company Aug 20, 1861"," 78664881 , 1445742 , 113715", front_page," Aug 20, 1861",0362-4331, English, English, 1," New York, N.Y.","Aug 20, 1861",New York Times (1857-1922),1861,http://search.proquest.com/docview/91636086?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+RECENT+BATTLE+AT+WILSON%27S+CREEK+MISSOURI.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1861-08-20&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
INCIDENTS OF THE BATTLE OF WILSON'S CREEK.,"My account of the great battle published this morning, being necessarily incomplete, as regards the interesting details connected therewith, I take this, the first opportunity to supply the deficiency.",91558880,Historical Newspapers,," Copyright New York Times Company Aug 19, 1861"," 78664764 , 1445741 , 113715", front_page," Aug 19, 1861",0362-4331, English, English, 1," New York, N.Y.","Aug 19, 1861",New York Times (1857-1922),1861,http://search.proquest.com/docview/91558880?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=INCIDENTS+OF+THE+BATTLE+OF+WILSON%27S+CREEK.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1861-08-19&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE ARMY OF GEN. LYON.,,91547594,Historical Newspapers,," Copyright New York Times Company Aug 18, 1861"," 78664631 , 1445740 , 113715", article," Aug 18, 1861",0362-4331, English, English, 2," New York, N.Y.","Aug 18, 1861",New York Times (1857-1922),1861,http://search.proquest.com/docview/91547594?accountid=13567, 2,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+ARMY+OF+GEN.+LYON.%3A+THE+STAFF.+BRIGADE+OFFICERS.+CAVALRY+ARTILLERY.+INFANTRY.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1861-08-18&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE WORK ACCOMPLISHED BY GEN. LYON,"If the report which reached this city on yesterday heralded another brilliant victory of the National arms in the southwest, it brought no joy to our hearts. Whelly devoted to the cause of our country, we earnestly desire and anxiously labor and pray for it success in the pending war. Nevertheless, we can only mourn over the slaughter of",91551442,Historical Newspapers," From the St. Louis Democrat, Aug. 13.
From the St. Louis Democrat, Aug. 13."," Copyright New York Times Company Aug 18, 1861"," 78664632 , 1445740 , 113715", article," Aug 18, 1861",0362-4331, English, English, 2," New York, N.Y.","Aug 18, 1861",New York Times (1857-1922),1861,http://search.proquest.com/docview/91551442?accountid=13567, 2,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+WORK+ACCOMPLISHED+BY+GEN.+LYON&amp;rft.au=From+the+St.+Louis+Democrat%2C+Aug.+13.&amp;rft.aulast=From+the+St.+Louis+Democrat&amp;rft.aufirst=Aug.&amp;rft.date=1861-08-18&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
"NOTES OF THE REBELLION,","Night before last a little Army of fifty-two hundred men moved in two columns on a march of twelve or fifteed miles to attack a body of rebels twenty-two thousand strong. In a military point of view the move was one of doubtful propriety, not to say absolute rashness. The larger force were, with the exception of three thousand men, well armed and equipped, and they had a very large body of cavalry.",91547274,Historical Newspapers,," Copyright New York Times Company Aug 18, 1861"," 78664630-1 , 1445740 , 113715", article," Aug 18, 1861",0362-4331, English, English, 2," New York, N.Y.","Aug 18, 1861",New York Times (1857-1922),1861,http://search.proquest.com/docview/91547274?accountid=13567, 2,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=NOTES+OF+THE+REBELLION%2C%3A+TEE+BATTLE+AT+WILSON%27S+CREEK.+THE+REBELS+SURPRISED-GALLANT+BRAVERY+OF+THE+VOLUNTEERS+BRAVERY+OF+GEN.+LYON+THE+KILLED+AND+WOUNDED.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1861-08-18&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE FORCES UNDER GEN. SIEGEL.,"The following list of the forces recently under the command of the late Gen. LYON, is derived from the Greenfield (Mo.) Observer Extra, of July 30, issued by some printers in a force of Missouri and Kansas volunteers, who had taken possession of the town to prevent the rebels from seizing it and getting in the rear of the National troops at Springfield. The list is doubtless an accurate one:",91552240,Historical Newspapers,," Copyright New York Times Company Aug 17, 1861"," 355623882 , 2488602 , 113715", article," Aug 17, 1861",0362-4331, English, English, 2," New York, N.Y.","Aug 17, 1861",New York Times (1857-1922),1861,http://search.proquest.com/docview/91552240?accountid=13567, 2,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+FORCES+UNDER+GEN.+SIEGEL.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1861-08-17&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
