Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
THE BATTLE AT GETTYSBURGH.,"There has been four days' fighting near Gettysburgh, commencing on Wednesday July 1, and ending on Saturday night, July 4. It is reported here that A.P. HILL, EARLY and RODES fought the enemy principally on Wednesday, beginning at 1 o'clock and lasting two hours. We drove the enemy through Gettysburgh and two and a half miles beyond. At Gettysburgh we captured their wounded--3,500 in number.",91771828,Historical Newspapers,," Copyright New York Times Company Jul 13, 1863"," 90521592 , 1524313 , 113715", article," Jul 13, 1863",0362-4331, English, English, 2," New York, N.Y.","Jul 13, 1863",New York Times (1857-1922),1863,http://search.proquest.com/docview/91771828?accountid=13567, 2,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+BATTLE+AT+GETTYSBURGH.%3A+ADDITIONAL+REBEL+ACCOUNTS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1863-07-13&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
FROM THE SOUTH.,"The Richmond Dispatch, of Wednesday, July 8, contains a leader on the battle of Gettysburgh. It says:",91762465,Historical Newspapers,," Copyright New York Times Company Jul 11, 1863"," 90521192-1 , 1524309 , 113715", front_page," Jul 11, 1863",0362-4331, English, English, 1," New York, N.Y.","Jul 11, 1863",New York Times (1857-1922),1863,http://search.proquest.com/docview/91762465?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=FROM+THE+SOUTH.%3A+REBEL+REPORTS+OF+THE+BATTLE+AT+GETTYSBURGH.+A+DISPATCH+WORTHY+OF+BARON+MUNCHAUSEN.+THE+NATIONAL+ARMY+ONE+HUNDRED+AND+SEVENTY-FIVE+THOUSAND+STRONG.+AN+OVERWHELMING+REBEL+VICTORY--40%2C000+PRISONERS+CAPTURED.+GEN.+GRANT+%22FEELING+THE+PRESSURE+OF+JOHNSTON%27S+IRON+HAND.%22+MOVEMENTS+ON+THE+PENINSULA+THE+BATTLE+OF+GETTYSBURGH.+FROM+NORTH+CAROLINA.+REPORTS+FROM+NATCHEZ.+THE+RAIDS+IN+ALABAMA.+OUR+FORCES+ON+THE+PENINSULA.+FRESHET+IN+THE+JAMES.+RICHMOND+SHOWING+HER+TEETH.+MORALS+IN+RICHMOND.+GEN.+HOOKER.+THE+REBELS+AND+ENGLAND.+THE+REBEL+HOPES+IN+THE+LATE+CAMPAIGN.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1863-07-11&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
OUR SPECIAL ARMY CORRESPONDENCE.,"The history of the great battle cannot now be either fully or truthfully written. The ignominous retreat of the enemy, and the pursuit of our own...",91789330,Historical Newspapers,," Copyright New York Times Company Jul 9, 1863"," 90520445 , 1524299 , 113715", front_page," Jul 9, 1863",0362-4331, English, English, 1," New York, N.Y.","Jul 9, 1863",New York Times (1857-1922),1863,http://search.proquest.com/docview/91789330?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=OUR+SPECIAL+ARMY+CORRESPONDENCE.%3A+FURTHER+DETAILS+OF+THE+BATTLE+OF+GETTYSBURGH+-CHARACTERISTICS+OF+THE+PEOPLE+OF+THE+TOWN-INTERESTING+INCIDENTS%2C+%26C.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1863-07-09&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE GREAT VICTORY,"GENERAL ORDERS No. 68.--The Commanding General, in behalf the country, thanks the Army of the Potomse for the glorious result of the recent operations. Our enemy, superior in numbers, and flushed with the pride of a successful invasion, attempted to overcome or destroy this army. Baffled and defeated he has now withdrawn from the contest. The privations and fatigues the army has endured, and the heroic courage and gallantry it displayed, will be matters of history to be ever remembered.",91772242,Historical Newspapers,," Copyright New York Times Company Jul 7, 1863"," 90519790-1 , 1524292 , 113715", front_page," Jul 7, 1863",0362-4331, English, English, 1," New York, N.Y.","Jul 7, 1863",New York Times (1857-1922),1863,http://search.proquest.com/docview/91772242?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+GREAT+VICTORY%3A+GEN.+MEADE%27S+ORDER+OF+THANKS+TO+THE+ARMY.+THE+FLIGHT+OF+THE+REBELS.+LEE+REPORTED+FORTIFYING+AT+NEWMAN%27S+CUT%2C+TO+PROTECT+HIS+RETREAT%2C+THE+ENTIRE+ARMY+OF+THE+POTOMAC+IN+MOTION.+GEN.+COUCH+MOVING+DOWN+FROM+HARRISBURGH.+LEE%27S+RETREAT+CUT+OFF+AT+THE+POTOMAC.+GEN.+MEADE%27S+HEADQUARTERS+AT+FREDERICK+YESTERDAY.+REBEL+TRAIN+AND+NINE+HUNDRED+PRISONERS+CAPTURED+BY+KILPATRICK.+ADDRESS+OF+GEN.+MEADE+TO+HIS+ARMY.+THE+VICTORY+TO+BE+DECISIVE.+OUR+WHOLE+ARMY+IN+MOTION.+LEE+FORTIFYING+NEWMAN%27S+CUT.+TELEGRAMS+FROM+GETTYSBURGH.+TELEGRAMS+FROM+CREAGERSTOWN+TELEGRAMS+FROM+BALTIMORE.+IMPORTANT+DISPATCH+FROM+GOV.+CURTIN+TELEGRAMS+FROM+HARRISBURGH.+TELEGRAM+FROM+HANOVER%2C+PENN.+TELEGRAM+FROM+FREDERICK%2C+MD.+FLIGHT+OF+THE+ENEMY.+A+FORGE+ON+THE+REBEL+FLANK.+REJOICING+AT+TRENTON.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1863-07-07&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE PURSUIT OF LEE.,"The reports from the extreme front are very cheering. Our cavalry, supported by infantry, are close upon the heels of the enemy, and important results are likely to occur before night.",91773332,Historical Newspapers,," Copyright New York Times Company Jul 7, 1863"," 90519857 , 1524292 , 113715", article," Jul 7, 1863",0362-4331, English, English, 8," New York, N.Y.","Jul 7, 1863",New York Times (1857-1922),1863,http://search.proquest.com/docview/91773332?accountid=13567, 8,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+PURSUIT+OF+LEE.%3A+OUR+SPECIAL+TELEGRAMS+FROM+THE+ARMY+OF+THE+POTOMAC.+CAPTURE+AND+DESTRUCTION+OF+THE+REBEL+WAGON+TRAIN+BY+KILPATRICK.+AN+ATTACK+UPON+THE+REBELS+AT+FAYETTEVILLE+BY+GEN.+GREGG.+CAPTURE+OF+FOUR+THOUSAND+PRISONERS.+LONGSTREET%27S+ADJUTANT-GENERAL+A+PRISONER.+ADVANCE+OF+THE+MILITIA+UP+THE+VALLEY.+TELEGRAMS+FROM+HARRISBURGH.+TELEGRAMS+FROM+FREDERICK.+NEWS+RECEIVED+IN+WASHINGTON.+AID+FOR+THE+WOUNDED%2C+%26C.+A+DELEGATION+FROM+NEW-HAMPSHIRE&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1863-07-07&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
DETAILS FROM OUR SPECIAL CORRESPONDENT.,"Who can write the history of a battle whose eyes are immovably fastened upon a central figure of transcendingly absorbing interest--the dead body of an oldest born, crushed by a shell in a position where a battery should never have been sent, and abandoned to death in a building where surgeons dared not to stay?",91749673,Historical Newspapers,," Copyright New York Times Company Jul 6, 1863"," 90519412-1 , 1524288 , 113715", front_page," Jul 6, 1863",0362-4331, English, English, 1," New York, N.Y.","Jul 6, 1863",New York Times (1857-1922),1863,http://search.proquest.com/docview/91749673?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=DETAILS+FROM+OUR+SPECIAL+CORRESPONDENT.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1863-07-06&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE GREAT BATTLE OF FRIDAY.,"Another great battle was fought yesterday afternoon, resulting in a magnificent success to the National arms.",91731538,Historical Newspapers," NEAR GETTYSBURGH, Saturday, July 4.
NEAR GETTYSBURGH, Saturday, July 4."," Copyright New York Times Company Jul 6, 1863"," 90519410 , 1524288 , 113715", front_page," Jul 6, 1863",0362-4331, English, English, 1," New York, N.Y.","Jul 6, 1863",New York Times (1857-1922),1863,http://search.proquest.com/docview/91731538?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+GREAT+BATTLE+OF+FRIDAY.%3A+OUR+SPECIAL+TELEGRAMS+FROM+THE+BATTLE-FIELD.&amp;rft.au=NEAR+GETTYSBURGH%2C+Saturday%2C+July+4.&amp;rft.aulast=NEAR+GETTYSBURGH&amp;rft.aufirst=Saturday&amp;rft.date=1863-07-06&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
DETAILS OF WEDNESDAY'S BATTLE.,"The engagement yesterday was very sharp, and one of the bloodiest, for its duration, yet encountered by the Army of the Potomac.",91734907,Historical Newspapers," From Our Special Correspondent.
From Our Special Correspondent."," Copyright New York Times Company Jul 6, 1863"," 90519475 , 1524288 , 113715", article," Jul 6, 1863",0362-4331, English, English, 8," New York, N.Y.","Jul 6, 1863",New York Times (1857-1922),1863,http://search.proquest.com/docview/91734907?accountid=13567, 8,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=DETAILS+OF+WEDNESDAY%27S+BATTLE.%3A+BATTLE-FIELD+NEAR+GETTYSBURGH%2C&amp;rft.au=From+Our+Special+Correspondent.&amp;rft.aulast=From+Our+Special+Correspondent.&amp;rft.aufirst=&amp;rft.date=1863-07-06&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
NEWS RECEIVED FROM PHILADELPHIA.,"A sensation report is current here that 20,000 rebels, and 118 guns have been captured, and that LEE asked an armistice of 48 hours to bury his dead...",91757354,Historical Newspapers,," Copyright New York Times Company Jul 6, 1863"," 90519472 , 1524288 , 113715", article," Jul 6, 1863",0362-4331, English, English, 8," New York, N.Y.","Jul 6, 1863",New York Times (1857-1922),1863,http://search.proquest.com/docview/91757354?accountid=13567, 8,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=NEWS+RECEIVED+FROM+PHILADELPHIA.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1863-07-06&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
OUR OCCUPATION OF GETTYSBURGH.,The messenger who brought the account of Friday's battle says:,91683153,Historical Newspapers,," Copyright New York Times Company Jul 6, 1863"," 90519470 , 1524288 , 113715", article," Jul 6, 1863",0362-4331, English, English, 8," New York, N.Y.","Jul 6, 1863",New York Times (1857-1922),1863,http://search.proquest.com/docview/91683153?accountid=13567, 8,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=OUR+OCCUPATION+OF+GETTYSBURGH.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1863-07-06&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
