Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
FURTHER REBEL ACCOUNTS.,,91735347,Historical Newspapers," From the Charleston Courier, June 19.
From the Charleston Courier, June 19."," Copyright New York Times Company Jun 29, 1862"," 78692609 , 1445995 , 113715", article," Jun 29, 1862",0362-4331, English, English, 8," New York, N.Y.","Jun 29, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91735347?accountid=10747, 8,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=FURTHER+REBEL+ACCOUNTS.%3A+WHAT+THE+YANKEES+EXPECTED.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1862-06-29&amp;volume=&amp;issue=&amp;spage=8&amp;au=From+the+Charleston+Courier%2C+June+19.&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
ADDITIONAL LIST OF THE CASUALTIES.,,91719769,Historical Newspapers,," Copyright New York Times Company Jun 29, 1862"," 78692610 , 1445995 , 113715", article," Jun 29, 1862",0362-4331, English, English, 8," New York, N.Y.","Jun 29, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91719769?accountid=10747, 8,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=ADDITIONAL+LIST+OF+THE+CASUALTIES.%3A+THE+TRANSCRIPT+HAS+THE+FOLLOWING+OFFICIAL+LIST+OF+THE+CASUALTIES+AT+THE+BATTLE+OF+JAMES+ISLAND%3A+FORTY-SIXTH+NEW-YORK+VOLUNTEERS%2C+COL.+ROSA&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1862-06-29&amp;volume=&amp;issue=&amp;spage=8&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
THE BATTLE NEAR CHARLESTON.,,91711548,Historical Newspapers,," Copyright New York Times Company Jun 28, 1862"," 78692409 , 1445994 , 113715", article," Jun 28, 1862",0362-4331, English, English, 2," New York, N.Y.","Jun 28, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91711548?accountid=10747, 2,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=THE+BATTLE+NEAR+CHARLESTON.%3A+LIST+OF+KILLED%2C+WOUNDED+AND+MISSING+OF+THE+NATIONAL+FORCES+IN+THE+BATTLE+ON+JAMES+ISLAND.+THE+SEVENTY-NINTH+%28NEW-YORK%29+HIGHLANDERS.+EIGHTH+MICHIGAN+VOLUNTEERS.+TWENTY-EIGHTH+MASSACHUSETTS+VOLUNTEERS.+OFFICERS.+SEVENTH+CONNECTICUT+VOLUNTEERS.+PART+OF+THE+KILLED%2C+ETC%2C+OF+THE+THIRD+NEWHAMPSHIRE+VOLUNTEERS.+THIRD+RHODE+ISLAND+ARTILLERY+KILLED.+WOUNDED.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1862-06-28&amp;volume=&amp;issue=&amp;spage=2&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
The Disaster on James Island.,"The Charleston Press is to receive credit for the general correctness of its reports of what happened near Secessionville on the 16th inst. The story, as told by our own fellows, ...",91709815,Historical Newspapers,," Copyright New York Times Company Jun 28, 1862"," 78692432 , 1445994 , 113715", editorial_article," Jun 28, 1862",0362-4331, English, English, 4," New York, N.Y.","Jun 28, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91709815?accountid=10747, 4,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=The+Disaster+on+James+Island.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1862-06-28&amp;volume=&amp;issue=&amp;spage=4&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
OUR PORT ROYAL CORRESPONDENCE.,"As early as the 1st of May, from the best information that could be obtained, it became evident to Gen. BENHAM, in command of the Northern District of the Department of the South, that Charleston was accessible from the Stono, and that could the available forces under his command be rapidly concentrated on James Island Fort Johnson could be at once taken and Charleston brought within reach of our batteries. After considerable reflection the project",91720356,Historical Newspapers,," Copyright New York Times Company Jun 28, 1862"," 78692477 , 1445994 , 113715", article," Jun 28, 1862",0362-4331, English, English, 8," New York, N.Y.","Jun 28, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91720356?accountid=10747, 8,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=OUR+PORT+ROYAL+CORRESPONDENCE.%3A+ORIGINAL+PLAN+OF+THE+EXPEDITION+AGAINST+CHARLESTON+OBSTACLES+IN+THE+WAY+OF+A+PROMPT+MOVEMENT+SEVERE+SKIRMISHING+THE+BATTLE.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1862-06-28&amp;volume=&amp;issue=&amp;spage=8&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
IMPORTANT FROM SOUTH CAROLINA,"The United States transport Ericsson, Capt. LOWDER from Tortugas 16th inst., Key West 18th and Port Royal 23d, arrived here yesterday morning. She brings a large mail from all the above places, and has 181 passengers, among whom is Gen. BENHAM and Staff. She has also on board 57 wounded soldiers, who were wounded in the late engagement on James Island, S.C. They are in charge of Surgeons CRAVEN",91720397,Historical Newspapers,," Copyright New York Times Company Jun 28, 1862"," 78692483 , 1445994 , 113715", article," Jun 28, 1862",0362-4331, English, English, 8," New York, N.Y.","Jun 28, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91720397?accountid=10747, 8,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=IMPORTANT+FROM+SOUTH+CAROLINA%3A+ARRIVAL+OF+THE+ERICSSON.+FULL+ACCOUNT+OF+THE+BATTLE+ON+JAMES+ISLAND.+THE+REBEL+ACCOUNTS+MAINLY+CONFIRMED.+AN+EXPLANATION+OF+THE+CAUSE+OF+THE+REPULSE.+OUR+LOSSES+688+IN+KILLED%2C+WOUNDED+AND+MISSING.+THE+NEW-YORK+SEVENTY-NINTH+AND+THE+MICHIGAN+EIGHTH+SEVERE+SUFFERERS.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1862-06-28&amp;volume=&amp;issue=&amp;spage=8&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
"THE ENGAGEMENT ON JAMES ISLAND, NEAR CHARLESTON, S.C.",,91751987,Historical Newspapers,," Copyright New York Times Company Jun 28, 1862"," 78692476 , 1445994 , 113715", article," Jun 28, 1862",0362-4331, English, English, 8," New York, N.Y.","Jun 28, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91751987?accountid=10747, 8,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=THE+ENGAGEMENT+ON+JAMES+ISLAND%2C+NEAR+CHARLESTON%2C+S.C.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1862-06-28&amp;volume=&amp;issue=&amp;spage=8&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
FROM THE SOUTH.,,91714221,Historical Newspapers," THE FIGHT ON JAMES ISLAND. From the Cherleston Mercury, June 17.
THE FIGHT ON JAMES ISLAND. From the Cherleston Mercury, June 17."," Copyright New York Times Company Jun 25, 1862"," 78692165 , 1445991 , 113715", front_page," Jun 25, 1862",0362-4331, English, English, 1," New York, N.Y.","Jun 25, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91714221?accountid=10747, 1,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=FROM+THE+SOUTH.%3A+FURTHER+ACCOUNTS+OF+THE+BATTLE+NEAR+CHARLESTON.+THE+CAMPAIGN+IN+VIRGINIA.+THE+ARTILLERY+SKIRMISHES+NEAR+RICHMOND.+DANGER+TO+THE+RAILROAD+COMMUNICATIONS+IN+THE+REAR.+THE+BATTLES+IN+THE+VALLEY.+A+LATER+ACCOUNT.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1862-06-25&amp;volume=&amp;issue=&amp;spage=1&amp;au=THE+FIGHT+ON+JAMES+ISLAND.+From+the+Cherleston+Mercury%2C+June+17.&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
A VICTORY CLAIMED BY THE REBELS.,"A severe battle took place this morning, on James Island, five miles from the city. Five regiments of Yankees, reinforced by artillery, attacked ...",91710353,Historical Newspapers," From the Richmond Whig June, 18.
From the Richmond Whig June, 18."," Copyright New York Times Company Jun 24, 1862"," 79177758 , 1450859 , 113715", front_page," Jun 24, 1862",0362-4331, English, English, 1," New York, N.Y.","Jun 24, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91710353?accountid=10747, 1,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=A+VICTORY+CLAIMED+BY+THE+REBELS.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1862-06-24&amp;volume=&amp;issue=&amp;spage=1&amp;au=From+the+Richmond+Whig+June%2C+18.&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
IMPORTANT FROM CHARLESTON,The Metamora arrived from City Point late last night.,91713169,Historical Newspapers,," Copyright New York Times Company Jun 24, 1862"," 79177757 , 1450859 , 113715", front_page," Jun 24, 1862",0362-4331, English, English, 1," New York, N.Y.","Jun 24, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91713169?accountid=10747, 1,http://sfxhosted.exlibrisgroup.com/emu?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpnewyorktimes&amp;atitle=IMPORTANT+FROM+CHARLESTON%3A+A+BLOODY+BATTLE+FOUGHT+ON+JAMES+ISLAND+ON+MONDAY+LAST.+THE+BATTLE+EXPECTED+TO+BE+RENEWED+ON+TUESDAY.+DESPAIRING+REPORTS+FROM+THE+REBELS.&amp;title=New+York+Times+%281857-1922%29&amp;issn=03624331&amp;date=1862-06-24&amp;volume=&amp;issue=&amp;spage=1&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281857-1922%29&amp;btitle=&amp;rft_id=info:eric/,ProQuest Historical Newspapers: The New York Times (1851-2009)
