Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
THE FORT DONELSON FIGHT.,,91669580,Historical Newspapers,," Copyright New York Times Company Feb 26, 1862"," 78679103 , 1445873 , 113715", article," Feb 26, 1862",0362-4331, English, English, 2," New York, N.Y.","Feb 26, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91669580?accountid=13567, 2,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+FORT+DONELSON+FIGHT.%3A+THE+LOSS+IN+GEN.+M%27CLERNAND%27S+DIVISION&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-02-26&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE IMPORTANCE OF FORT DONELSON.,"It was reported here last night that a light of a most desperate character was going on at Fort Donelson, about 12,000 on each side engaged; but as yet it is not confirmed. Gen. JOHNSTON is falling back from Bowling Green. It is not known whether he will stop at Gallatin or come to Nashville. This movement is necessary, and no doubt very proper under the circumstances.",91671978,Historical Newspapers,," Copyright New York Times Company Feb 25, 1862"," 78678977 , 1445872 , 113715", article," Feb 25, 1862",0362-4331, English, English, 2," New York, N.Y.","Feb 25, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91671978?accountid=13567, 2,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+IMPORTANCE+OF+FORT+DONELSON.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-02-25&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE FORT DONELSON PRISONERS.,,91674201,Historical Newspapers,," Copyright New York Times Company Feb 24, 1862"," 78678867 , 1445871 , 113715", front_page," Feb 24, 1862",0362-4331, English, English, 1," New York, N.Y.","Feb 24, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91674201?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+FORT+DONELSON+PRISONERS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-02-24&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE VICTORY AT FORT DONELSON.,,91664778,Historical Newspapers," Correspondence of the Chicago Times.
Correspondence of the Chicago Times."," Copyright New York Times Company Feb 23, 1862"," 82083319-1 , 1470962 , 113715", article," Feb 23, 1862",0362-4331, English, English, 8," New York, N.Y.","Feb 23, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91664778?accountid=13567, 8,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+VICTORY+AT+FORT+DONELSON.%3A+GEN.+GRANT%27S+OFFICIAL+REPORT.+A+VISIT+TO+THE+BATTLE-FIELD.&amp;rft.au=Correspondence+of+the+Chicago+Times.&amp;rft.aulast=Correspondence+of+the+Chicago+Times.&amp;rft.aufirst=&amp;rft.date=1862-02-23&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE CAMPAIGN IN TENNESSEE.,"We have possession of Clarksville. The citizens being alarmed, two-thirds of them have fled, and having expressed my views and intentions to the Mayor and Hon. CAVE JOHNSON, at their request I have issued a proclamation, assuring all peaceably-disposed persons that they may with safety resume their businesavocations, requiring only the military stores and equipments to be given up, and holding the authorities responsible that this shall be done, without reservation.",91679858,Historical Newspapers," Hon. Gideon Welles, Secretary of the Navy:
Hon. Gideon Welles, Secretary of the Navy:"," Copyright New York Times Company Feb 23, 1862"," 82083318-1 , 1470962 , 113715", article," Feb 23, 1862",0362-4331, English, English, 8," New York, N.Y.","Feb 23, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91679858?accountid=13567, 8,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+CAMPAIGN+IN+TENNESSEE.%3A+THE+OCCUPATION+OF+CLARKSVILLE+BY+THE+NATIONAL+FORCES.+REPORT+OF+FLAG-OFFICER+FOOTE+TO+THE+NAVY+DEPARTMENT.+A+MOVEMENT+TOWARD+NASHVILLE.+THE+RAILROAD+BRIDGE+AT+CLARKSVILLE+BURNED+BY+THE+REBELS.+SPECIAL+DISPATCH+TO+THE+NEW-YORK+TIMES.+THE+FORT+DONELSON+PRISONERS.&amp;rft.au=Hon.+Gideon+Welles%2C+Secretary+of+the+Navy%3A&amp;rft.aulast=Hon.+Gideon+Welles&amp;rft.aufirst=Secretary+of+the&amp;rft.date=1862-02-23&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE SIEGE OF FORT DONELSON.,"It was determined by Gen. GRANT to make the attack upon Fort Donelson from two directions--by land from the direction of Fort Henry, and by water up the Cumberland, assisted by an adequate column of troops on the banks, Tuesday night, the Fifty-seventh Illinois, Col. BALDWIN, arrived at Fort Henry, on the steamer Minnehaha.",91701390,Historical Newspapers,," Copyright New York Times Company Feb 22, 1862"," 82083161-1 , 1470961 , 113715", front_page," Feb 22, 1862",0362-4331, English, English, 1," New York, N.Y.","Feb 22, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91701390?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+SIEGE+OF+FORT+DONELSON.%3A+FULL+DETAILS+FROM+OUR+SPECIAL+CORRESPONDENTS.+INVESTMENT+OF+THE+POSITION.+THE+ATTACK+BY+THE+GUNBOATS.+DESPERATE+ATTEMPTS+OF+THE+REBELS+TO+RAISE+THE+SIEGE.+IRRESISTIBLE+BRAVERY+OF+THE+NATIONAL+FORCES.+THE+SURRENDER.+LARGE+NUMBER+OF+FIELD+BATTERIES+CAPTURED.+THE+CONFEDERATE+SOLDIERS+ATTEMPT+TO+SHOOT+FLOYD.+PARTIAL+LIST+OF+THE+KILLED+AND+WOUNDED.+THE+REGIMENTS+TAKEN+PRISONERS.+THE+SIEGE+OF+FORT+DONELSON.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-02-22&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE FORT DONELSON FORTIFICATIONS.,,91670858,Historical Newspapers,," Copyright New York Times Company Feb 22, 1862"," 82083162 , 1470961 , 113715", front_page," Feb 22, 1862",0362-4331, English, English, 1," New York, N.Y.","Feb 22, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91670858?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+FORT+DONELSON+FORTIFICATIONS.%3A+DIAGRAM+SHOWING+THE+MAIN+AND+UPPER+FORT%2C+THE+RIFLE+PITS%2C+AND+THE+WATER+AND+FIELD+BATTERIES%3B+AND+THE+MANNER+IN+WHICH+THE+POSITION+WAS+INVESTED+BY+THE+NATIONAL+FORCES.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-02-22&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE CAMPAIGN IN TENNESSEE.,"The Republican's Cairo dispatch says that the latest advices from Fort Donelson report that the gunboat St. Louis, Capt. PAULDING, proceeded up the Cumberland to Clarkesville, and found the enemy abandoning that place in a panic. Two large flat",91682075,Historical Newspapers,," Copyright New York Times Company Feb 21, 1862"," 78678789-1 , 1445870 , 113715", front_page," Feb 21, 1862",0362-4331, English, English, 1," New York, N.Y.","Feb 21, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91682075?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+CAMPAIGN+IN+TENNESSEE.%3A+EVACUATION+OF+CLARKSVILLE+BY+THE+REBELS.+A+STAND+TO+BE+MADE+AT+NASHVILLE.+CAPTURE+OF+WAR+MUNITIONS+THE+NUMBER+OF+PRISONERS+TAKEN+AT+FORT+DONELSON+13%2C300.+THE+ELEVENTH+ILLINOIS+REGIMENT.+ARRIVAL+OF+PRISONERS+AT+ST.+LOUIS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-02-21&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
Gen. Hunter and the Fort Donelson Victory.,,91645007,Historical Newspapers,," Copyright New York Times Company Feb 21, 1862"," 78678790 , 1445870 , 113715", front_page," Feb 21, 1862",0362-4331, English, English, 1," New York, N.Y.","Feb 21, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91645007?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=Gen.+Hunter+and+the+Fort+Donelson+Victory.%3A+More+Prisoners+Captured+at+Fort+Donelson.+Railroad+Communication+Between+Memphis+and+Charloston+Cut+Off%3A+Arrest+of+Gen.+Buckner+on+the+Charge+of+Treason.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-02-21&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
BEFORE THE BATTLE.,"The advance guard of the Bohemian Brigade took its departure from Fort Henry, about 8 o'clock yesterday morning, and after a most tedious and tiresome tramp over an abominable road, relieved by a short ride on some artillery horses, arrived within four miles of Donelson, when the sound of firing was heard, and we concluded to push on, on foot, in order not to be too late for what, with exquisite irony, is termed ""the fun.""",91667129,Historical Newspapers," Correspondence of the Cincinnati Times.
Correspondence of the Cincinnati Times."," Copyright New York Times Company Feb 20, 1862"," 78678702 , 1445869 , 113715", front_page," Feb 20, 1862",0362-4331, English, English, 1," New York, N.Y.","Feb 20, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91667129?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=BEFORE+THE+BATTLE.%3A+THE+INVESTMENT+OF+THE+FORT%2C+AND+THE+FIRST+DAY%27S+FIGHTING.&amp;rft.au=Correspondence+of+the+Cincinnati+Times.&amp;rft.aulast=Correspondence+of+the+Cincinnati+Times.&amp;rft.aufirst=&amp;rft.date=1862-02-20&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
