Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
FROM THE REBEL STATES,"We are in receipt of still another batch of Southern journals of late dates, and from them we compile the following summary of news:",91746938,Historical Newspapers,," Copyright New York Times Company Jan 16, 1863"," 80269782-1 , 1458882 , 113715", front_page," Jan 16, 1863",0362-4331, English, English, 1," New York, N.Y.","Jan 16, 1863",New York Times (1857-1922),1863,http://search.proquest.com/docview/91746938?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=FROM+THE+REBEL+STATES%3A+ABUSE+OF+A+FLAG+OF+TRUCE+AT+FREDERICKSBURGH.+RETALIATORY+MEASURES+AGAINST+GEN.+MILROY+PROPOSED.+ESTIMATES+OF+THE+RESULTS+OF+THE+BATTLE+AT+MURFREESBORO.+ARRIVAL+OF+THE+FEMALE+REFUGEES+AT+PETERSBURGH.+INTERESTING+MISCELLANEOUS+INTELLIGENCE.+THE+LESSONS+OF+THE+WAR.+REPORTS+FROM+FREDERICKSBURGH.+THE+VIRGINIA+LEGISLATURE.+THE+MIDDLE+TENNESSEE+CAMPAIGN.+RETALIATION.+THE+INVASION+OF+TEXAS.+WHAT+GOV.+SEYMOUR+INTENDS+TO+DO.+GEN.+LEE+ON+GEN.+MAXCY+GREGG.+THE+PLEASURES+OF+CONSCRIPTION.+GEN.+STUART+AS+A+TELEGRAPHER.+A+TESTIMONIAL+TO+GEN.+JACKSON.+ARRIVAL+OF+THE+FEMALE+REFUGEES.+AFFAIRS+IN+RICHMOND.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1863-01-16&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE LATEST REBEL NEWS.,,91728259,Historical Newspapers,," Copyright New York Times Company Jan 14, 1863"," 80269388 , 1458877 , 113715", front_page," Jan 14, 1863",0362-4331, English, English, 1," New York, N.Y.","Jan 14, 1863",New York Times (1857-1922),1863,http://search.proquest.com/docview/91728259?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+LATEST+REBEL+NEWS.%3A+BY+WAY+OF+FREDERICKSBURGH+AFFAIRS+ON+THE+BLACKWATER.+THE+MURFREESBORO+BATTLES+THE+VIRGINIA+MILITIA+CALLED+OUT.+NEGROES+WANTED.+THE+MURFREESBORO+PRISONERS.+BUSINESS+MATTERS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1863-01-14&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE MURFREESBORO BATTLES.,"In my last letter I left the contending hosts reposing on their arms after the great struggle of Wednesday, Dec. 31. There was but little alarm after the battle, and comparatively little uneasiness; each army thinking, doubtless, that its opponent was too much exhausted to care about renewing the strife.",91733775,Historical Newspapers,," Copyright New York Times Company Jan 12, 1863"," 90530656-1 , 1524405 , 113715", article," Jan 12, 1863",0362-4331, English, English, 8," New York, N.Y.","Jan 12, 1863",New York Times (1857-1922),1863,http://search.proquest.com/docview/91733775?accountid=13567, 8,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+MURFREESBORO+BATTLES.%3A+THE+EVENTS+OF+THURSDAY%2C+FRIDAY+AND+SATURDAY.+THE+FINAL+DEFEAT+AND+RETREAT+OF+THE+REBELS.+ENLARGEMENT+OF+THE+ERIE+CANAL+LOCKS.+EXTRACT+OF+A+PRIVATE+LETTER%2C+DATED&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1863-01-12&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE BATTLE OF MURFREESBORO.,"From official returns it has been ascertained that the total loss in Gen. NEGLEY'S Division, comprising killed, wounded, and missing, is one thousand three hundred and fifty-six (1,356.)",91724707,Historical Newspapers,," Copyright New York Times Company Jan 11, 1863"," 90530328 , 1524403 , 113715", front_page," Jan 11, 1863",0362-4331, English, English, 1," New York, N.Y.","Jan 11, 1863",New York Times (1857-1922),1863,http://search.proquest.com/docview/91724707?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+BATTLE+OF+MURFREESBORO.%3A+PARTICULARS+OF+OUR+LOSSES.+THE+TOWN+OF+LAVERGNE+BURNED.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1863-01-11&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
OUR NASHVILLE CORRESPONDENCE.,"The Army of the Cumberland advanced southward on Friday, Dec. 26, and had proceeded, up to the 30th, within eight miles of Murfreesboro, the rebel stronghold. The army is divided into three corps d'arm e, of which Gen. McCOOK commands the",91724995,Historical Newspapers,," Copyright New York Times Company Jan 11, 1863"," 90530329 , 1524403 , 113715", front_page," Jan 11, 1863",0362-4331, English, English, 1," New York, N.Y.","Jan 11, 1863",New York Times (1857-1922),1863,http://search.proquest.com/docview/91724995?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=OUR+NASHVILLE+CORRESPONDENCE.%3A+A+GENERAL+VIEW+OF+THE+FIGHTING+AT+MURFREESBORO--THE+COMPOSITION+OF+THE+TWO+ARMIES--THE+LOSSES%2C+%26C.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1863-01-11&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
FROM THE REBEL STATES.,"On Monday night last, the President was serenaded, at his residence, by Capt. J.B. Smith's Silver Band, the affair having been gotten up as a compliment to the President on the occasion of his return from the West. In consequence of no public announcement of the fact having been made, the attend",91750119,Historical Newspapers," ANOTHER SPEECH BY JEFF DAVIS. From the Richmond Enquirer, Jan. 7.
ANOTHER SPEECH BY JEFF DAVIS. From the Richmond Enquirer, Jan. 7."," Copyright New York Times Company Jan 11, 1863"," 90530403-1 , 1524403 , 113715", article," Jan 11, 1863",0362-4331, English, English, 8," New York, N.Y.","Jan 11, 1863",New York Times (1857-1922),1863,http://search.proquest.com/docview/91750119?accountid=13567, 8,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=FROM+THE+REBEL+STATES.%3A+ANOTHER+SPEECH+BY+JEFF.+DAVIS+IN+RICHMOND.+HE+CLAIMS+A+VICTORY+AT+MURFREESBORO.+DENUNCIATIONS+OF+THE+NORTHERN+SOLDIERY.+GOVERNOR+LETCHER+ON+NORTHERN+VANDALISM.+AFFAIRS+IN+CHARLESTON.&amp;rft.au=ANOTHER+SPEECH+BY+JEFF+DAVIS.+From+the+Richmond+Enquirer%2C+Jan.+7.&amp;rft.aulast=ANOTHER+SPEECH+BY+JEFF+DAVIS.+From+the+Richmond+Enquirer&amp;rft.aufirst=Jan.&amp;rft.date=1863-01-11&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE BATTLE OF MURFREESBORO.,"From official returns it has been ascertained that the total loss in Gen. NEGLEY's Division, comprising killed, wounded, and missing, is one thousand three hundred and fifty-six (1,356.)",91726132,Historical Newspapers,," Copyright New York Times Company Jan 10, 1863"," 78701115 , 1446077 , 113715", article," Jan 10, 1863",0362-4331, English, English, 6," New York, N.Y.","Jan 10, 1863",New York Times (1857-1922),1863,http://search.proquest.com/docview/91726132?accountid=13567, 6,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+BATTLE+OF+MURFREESBORO.%3A+PARTICULARS+OF+OUR+LOSSES.+THE+TOWN+OF+LAVERGNE+BURNED.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1863-01-10&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=6&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE BATTLE OF MURFREESBORO.,"[The following graphic and thrilling narrative of the great struggle of Wednesday, before Murfreesboro, was telegraphed to us so late on Wednesday night that it could appear in but a small portion of our morning edition of yesterday.--ED. TIMES.]",91749371,Historical Newspapers,," Copyright New York Times Company Jan 9, 1863"," 105195827-1 , 1594338 , 113715", front_page," Jan 9, 1863",0362-4331, English, English, 1," New York, N.Y.","Jan 9, 1863",New York Times (1857-1922),1863,http://search.proquest.com/docview/91749371?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+BATTLE+OF+MURFREESBORO.%3A+THRILLING+DETAILS+OF+THE+GREAT+STRUGGLE+OF+WEDNESDAY.A+GRAPHIC+PICTURE+OF+THE+EBB+ANDFLOW+OF+BATTLE.HOW+THE+REPULSE+OF+THE+REBELS+WAS+DECLINE%3FMAGNIFICENT+MOVEMENTS+ON+THEBLOODY+CHESS-BOARD.SPLENDID+GENERALSHIP+OF+GEN.+ROSECRANS&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1863-01-09&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
REBEL REPORTS FROM TENNESSEE,"The Richmond Examiner, of the 6th inst., is received, containing the latest advices from Murfreesboro:",91727256,Historical Newspapers,," Copyright New York Times Company Jan 9, 1863"," 105195858-1 , 1594338 , 113715", article," Jan 9, 1863",0362-4331, English, English, 5," New York, N.Y.","Jan 9, 1863",New York Times (1857-1922),1863,http://search.proquest.com/docview/91727256?accountid=13567, 5,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=REBEL+REPORTS+FROM+TENNESSEE%3A+IF+BRAGG+HAS+WON+A+VICTORY%2C+THE+RICHMOND+PAPERS+%22DON%27T+SEE+IT.%22&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1863-01-09&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=5&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
FROM GEN. ROSECRANS' ARMY.,"A special dispatch to the Commercial, from Murfreesboro, gives additional confirmation of the demoralization of the rebel army. BRECKINRIDGE'S di- vision whs terribly punished on Friday. Gen. BRECKINRIDGE was wounded in the ear, and his AdjutantGeneral killed. Wounded rebel officers estimate their loss at from 12,000 to 15,000, with a great slaughter of leading officers.",91746782,Historical Newspapers,," Copyright New York Times Company Jan 8, 1863"," 355641722-1 , 2488742 , 113715", front_page," Jan 8, 1863",0362-4331, English, English, 1," New York, N.Y.","Jan 8, 1863",New York Times (1857-1922),1863,http://search.proquest.com/docview/91746782?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=FROM+GEN.+ROSECRANS%27+ARMY.%3A+THE+REBEL+ARMY+VERY+MUCH+DEMORALIZED.+THEIR+LOSSES+ESTIMATED+AT+FROM+12%2C000+TO+15%2C000.+BRECKINRIDGE+WOUNDED+IN+THE+EAR.+THEIR+REAR+GUARD+ATTACKED+BY+GEN.+STANLEY%27S+CAVALRY.+BRAGG+GOING+TO+CHATTANOOGA+GENT.+ROSECRANS%27+DISPATCH+AMENDED.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1863-01-08&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
