Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
THE BATTLE AT BULL RUN.,"Sunday, July 21, will ever be a memorable day in the annals of America. Next to the sacred Sabbath of our Independence, it will be the eventful era in the hisiory of Republican Governments. The military despotism of the North, proud, arrogant and confident, has been met in the open field, and the true chivalry of the South, relying only upon the justness of their cause, though comparatively weak in numbers, have gained a victory that in completeness has never been paralleled in history since the American Continent first dawned from its ocean-girt womb upon the eyes of the longing discoverer.",91648238,Historical Newspapers,," Copyright New York Times Company Aug 2, 1861"," 354667832-1 , 2488102 , 113715", article," Aug 2, 1861",0362-4331, English, English, 3," New York, N.Y.","Aug 2, 1861",New York Times (1857-1922),1861,http://search.proquest.com/docview/91648238?accountid=13567, 3,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+BATTLE+AT+BULL+RUN.%3A+INTERESTING+ACCOUNTS+FROM+THE+SIDE+OF+THE+REBELS+THE+MOVEMENTS+OF+JOHNSON%27S+DIVISION+ITS+PART+IN+THE+BATTLE.+HOW+THE+NEWS+WAS+RECEIVED+IN+RICHMOND.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1861-08-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=3&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
LATEST NEWS OF THE REBELLION.,,91641086,Historical Newspapers,," Copyright New York Times Company Aug 2, 1861"," 354668572 , 2488102 , 113715", article," Aug 2, 1861",0362-4331, English, English, 9," New York, N.Y.","Aug 2, 1861",New York Times (1857-1922),1861,http://search.proquest.com/docview/91641086?accountid=13567, 9,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=LATEST+NEWS+OF+THE+REBELLION.%3A+GEN.+PATTERSON%27S+DERELICTION+A+RETURNED+PRISIONER.+A+DISPATCH+FROM+THE+REBEL+CAPITAL.+PRINCE+NAPOLEON.+GOVERNMENT+SALARIES.+DISSOLVED+PARTNERSHIP.+SUPPLY+STEAMERS.+FIELD+PIECES+LOST.+VISIT+TO+THE+WOUNDED.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1861-08-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=9&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
INCIDENTS OF THE BATTLE.,"The Enquirer collects these incidents of the engagement. It says: ""The dispatch of President DAVIS says that the severest fighting of the battle of the 21st was on our left flank. Those who gave attention to our description of the localities, in Monday's issue, will recognize thoe ""Stone Bridge"" as the scene of this terrible collision. That point, where the turnpike road crosses Bull Run, was on the extreme left of our line.",91641292,Historical Newspapers,," Copyright New York Times Company Aug 1, 1861"," 354666372 , 2488092 , 113715", article," Aug 1, 1861",0362-4331, English, English, 2," New York, N.Y.","Aug 1, 1861",New York Times (1857-1922),1861,http://search.proquest.com/docview/91641292?accountid=13567, 2,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=INCIDENTS+OF+THE+BATTLE.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1861-08-01&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE BATTLE AT BULL RUN.,"The severest battle that was ever fought in this country took place to-day, between the Confederates and National forces. As stated to you a few days ago, the armies had faced each other until it was evident that a collision must ensue. About 8 o'clock this morning, a part of the National forces, about 10,000 strong, commenced an attack on the Confederate troops at Stone Bridge, on the turnpike, six miles above here, numbering only 600, being the Fourth Alabama Regiment, under Col. SLOANE.",91643932,Historical Newspapers,," Copyright New York Times Company Aug 1, 1861"," 354666352-1 , 2488092 , 113715", article," Aug 1, 1861",0362-4331, English, English, 2," New York, N.Y.","Aug 1, 1861",New York Times (1857-1922),1861,http://search.proquest.com/docview/91643932?accountid=13567, 2,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+BATTLE+AT+BULL+RUN.%3A+ACCOUNTS+FROM+THE+CONFEDERATES.+NAMES+OF+SOME+OF+THE+KILLED+AND+WOUNDED.+THE+BATTLE.+CORRESPONDENCE+OF+THE+RICHMOND+ENQUIRER.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1861-08-01&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
AN INCIDENT OF THE BULL RUN FIGHT.,,91627214,Historical Newspapers,," Copyright New York Times Company Aug 1, 1861"," 354667162 , 2488092 , 113715", article," Aug 1, 1861",0362-4331, English, English, 8," New York, N.Y.","Aug 1, 1861",New York Times (1857-1922),1861,http://search.proquest.com/docview/91627214?accountid=13567, 8,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=AN+INCIDENT+OF+THE+BULL+RUN+FIGHT.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1861-08-01&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE BATTLE AT BULL RUN.,"SIR: Being Chief of the Medical Staff, serving with the Army in the Department of N.E. Virginia, I have the honor to make the following report of so much of the results of the action of the 21st, at Bull Run, as came, within my charge. As the officers of the Medical Staff were attached to the different regiments and on duty with them.",91621858,Historical Newspapers,," Copyright New York Times Company Jul 31, 1861"," 78663213 , 1445728 , 113715", article," Jul 31, 1861",0362-4331, English, English, 2," New York, N.Y.","Jul 31, 1861",New York Times (1857-1922),1861,http://search.proquest.com/docview/91621858?accountid=13567, 2,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+BATTLE+AT+BULL+RUN.%3A+OFFICIAL+REPORT+OF+THE+NATIONAL+MEDICAL+DIRECTOR.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1861-07-31&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
MORE REBEL ACCOUNTS.,"The Leesburg (Va.) Democratic Mirror, of a late date, has the following account of the last battle at Bull Run:",91580406,Historical Newspapers,," Copyright New York Times Company Jul 30, 1861"," 78663103 , 1445727 , 113715", article," Jul 30, 1861",0362-4331, English, English, 2," New York, N.Y.","Jul 30, 1861",New York Times (1857-1922),1861,http://search.proquest.com/docview/91580406?accountid=13567, 2,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=MORE+REBEL+ACCOUNTS.%3A+MORE+MODERATE.+FROM+RICHMOND.+THE+EXULTATION.+BEAUREGARD+BEFORE+THE+FIRST+BATTLE.+DAVIS%27+DISPATCH.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1861-07-30&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE BATLE OF BULL RUN.,"To Brig.-Gen. Tyler, Commanding First Division: GENERAL: I have the honor to submit this re- port of the movements and service of my brigade in the battle at Bull's Run, on the Gainesville road, on the 21st inst.",91614175,Historical Newspapers,," Copyright New York Times Company Jul 29, 1861"," 78662937-1 , 1445726 , 113715", front_page," Jul 29, 1861",0362-4331, English, English, 1," New York, N.Y.","Jul 29, 1861",New York Times (1857-1922),1861,http://search.proquest.com/docview/91614175?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+BATLE+OF+BULL+RUN.%3A+OFFICIAL+REPORT+OF+GEN.+SCHENCK&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1861-07-29&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
OUR WAR CORRESPONDENCE.,"I have just arrived, feeling right sorrowful. We're whipped in the first big fight. Men are brave, but our commanders have certainly blundered. I understand McCLELLAN takes the place of McDOWELL, and that MILES is under arrest for being drunk on the field of battle.",91626139,Historical Newspapers,," Copyright New York Times Company Jul 28, 1861"," 78662872 , 1445725 , 113715", article," Jul 28, 1861",0362-4331, English, English, 2," New York, N.Y.","Jul 28, 1861",New York Times (1857-1922),1861,http://search.proquest.com/docview/91626139?accountid=13567, 2,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=OUR+WAR+CORRESPONDENCE.%3A+A+GRAPHIC+PICTURE+OF+THE+LATE+DISASTER.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1861-07-28&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
MORE REBEL ACCOUNTS.,The Richmond Whig of the 24th inst. says that the battle of Bull's Run opened by throwing out heavy artillery and small field-pieces at 8 o'clock in the morning. The force of the enemy can never be as certained. Our force was twenty thousand. Men never fought more desperately than ours. We have captured eighteen pieces of artillery and taken some three or four hundred prisoners.,91634042,Historical Newspapers,," Copyright New York Times Company Jul 28, 1861"," 78662928-1 , 1445725 , 113715", article," Jul 28, 1861",0362-4331, English, English, 8," New York, N.Y.","Jul 28, 1861",New York Times (1857-1922),1861,http://search.proquest.com/docview/91634042?accountid=13567, 8,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=MORE+REBEL+ACCOUNTS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1861-07-28&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
