Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
GEN. McCLELLAN'S DISPATCHES.,"Dispatches have been received from Gen. McCLELLAN dated as late as 1 o'clock P.M., Friday, July 4.",91721033,Historical Newspapers,," Copyright New York Times Company Jul 7, 1862"," 78988659 , 1449450 , 113715", front_page," Jul 7, 1862",0362-4331, English, English, 1," New York, N.Y.","Jul 7, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91721033?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=GEN.+McCLELLAN%27S+DISPATCHES.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=2001-12-01&amp;rft.volume=22&amp;rft.issue=2&amp;rft.spage=125&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Journal+of+Primary+Prevention&amp;rft.issn=0278095X,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
GEN. M'CLELLAN'S ARMY.,"The following is an account of the battles fought in front of Richmond on Sunday, Monday and Tuesday, being the fifth, sixth and seventh days of the engagement.",91651648,Historical Newspapers," FROM GEN. McCLELLAN'S HEADQUARTERS.
FROM GEN. McCLELLAN'S HEADQUARTERS."," Copyright New York Times Company Jul 6, 1862"," 78988520 , 1449449 , 113715", front_page," Jul 6, 1862",0362-4331, English, English, 1," New York, N.Y.","Jul 6, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91651648?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=GEN.+M%27CLELLAN%27S+ARMY.%3A+NO+FIGHTING+SINCE+TUESDAY+NIGHT.+THE+REBELS+FEARFULLY+PUNISHED+ON+MONDAY+AND+TUESDAY.+EFFECTIVE+SERVICE+RENDERED+BY+THE+GUNBOATS.+REBEL+ACCOUNTS+OF+MONDAY%27S+BATTLE.+A+DEFEAT+ACKNOWLEDGED.+RIGHT+THOUSAND+MEN+DISABLED+IN+A+REBEL+DIVISION+OF+FOURTEEN+THOUSAND.A+RECORD+OF+THE+WEEK%27S+FIGHTING.+OUR+ARMY+CELEBRATING+THE+FOURTH+OF+JULY.&amp;rft.au=FROM+GEN.+McCLELLAN%27S+HEADQUARTERS.&amp;rft.aulast=FROM+GEN.+McCLELLAN%27S+HEADQUARTERS.&amp;rft.aufirst=&amp;rft.date=1862-07-06&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
FROM GEN. M'CLELLAN.,,91729185,Historical Newspapers,," Copyright New York Times Company Jul 4, 1862"," 78988399-1 , 1449448 , 113715", front_page," Jul 4, 1862",0362-4331, English, English, 1," New York, N.Y.","Jul 4, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91729185?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=FROM+GEN.+M%27CLELLAN.%3A+THE+GREAT+BATTLE+CONTINUED+THROUGH+SEVEN+DAYS.+IMMENSE+LOSSES+ON+BOTH+SIDES.+TERRIFIC+ONSLAUGHT+OF+THE+REBELS+ON+OUR+NEW+POSITION.+FINAL+AND+OVERWHELMING+DEFEAT+OF+THE+ENEMY.DEATH+OF+STONEWALL+JACKSON+AND+GEN.BARNWELL+RHETT.GEN.+MAGRUDER+REPORTED+TO+BEA+PRISONER.GEN.+MCCLELLAN+SAFE+AND+CONFIDENT+INHIS+NEW+POSITION.ARRIVAL+OF+CONSIDERABLE+REINFORCEMENTS.OFFICIAL+ADVICES+FROM+GEN.+MCCLELLAN.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=2009-12-01&amp;rft.volume=38&amp;rft.issue=6&amp;rft.spage=305&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Child+%26+Youth+Care+Forum&amp;rft.issn=10531890,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE NEWS FROM RICHMOND.,"The first and only thorough and reliable account of the fearful struggle through which the Army of the Potomac has just passed, was published in the TIMES of yesterday.",91652827,Historical Newspapers,," Copyright New York Times Company Jul 4, 1862"," 78988503 , 1449448 , 113715", article," Jul 4, 1862",0362-4331, English, English, 8," New York, N.Y.","Jul 4, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91652827?accountid=13567, 8,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+NEWS+FROM+RICHMOND.%3A+EFFECT+OF+THE+TIMES+ACCOUNT+OF+THE+BATTLE.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-07-04&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
HIGHLY IMPORTANT.,"Event s of the gravest character have transpired within the last five days, touching the condition and prospects of the army on the Peninsula. Acting under the necessity which the Commanding General ...",91649403,Historical Newspapers,," Copyright New York Times Company Jul 3, 1862"," 78692974-1 , 1445999 , 113715", front_page," Jul 3, 1862",0362-4331, English, English, 1," New York, N.Y.","Jul 3, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91649403?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=HIGHLY+IMPORTANT.%3A+A+RELIABLE+HISTORY+OF+EVENTS+BEFORE+RICHMOND+FROM+OUR+SPECIAL+CORRESPONDENTS.+FULL+DETAILS+TO+MONDAY+NIGHT.+FIVE+DAYS+OF+ALMOST+CONTINUOUS+FIGHTING.+REPULSE+OF+THE+ENEMY+NEAR+MECHAN-+ICSVILLE+ON+THURSDAY.+DESPERATE+BATTLE+AT+GAINES%27+HILL+ON+FRIDAY.+RETREAT+OF+OUR+FORCES+ACROSS+THE+CHICKAHOMINY.+REPULSE+OF+THE+ENEMY+IN+FRONT+ON+SATURDAY.+CONTINUOUS+SKIRMISHING+ALONG+THE+REAR+ON+SUNDAY.+ANOTHER+DESPERATE+BATTLE+IN+OUR+NEW+POSITION+ON+MONDAY.+OUR+GUNBOATS+ON+JAMES+RIVER+IN+ACTION.+THE+POSITION+OF+AFFAIRS+ON+MON-+DAY+NIGHT.+FROM+THE+SPECIAL+CORRESPONDENTS+OF+THE+NEWYORK+TIMES.+WITHDRAWING+FROM+THE+FRONT.+DESTRUCTION+OF+THE+BRIDGES.+HOW+THE+RETREAT+WAS+CONDUCTED.+CARE+OF+THE+SICK+AND+WOUNDED.+THE+APPROACH+TO+JAMES+RIVER.+THE+FIRE+IN+OUR+REAR.+THE+GUNBOATS+BROUGHT+INTO+ACTION.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-07-03&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
ANOTHER INTERESTING ACCOUNT.,"The advance upon Richmond has commenced, with a strategic movement on the part of Gen. McCLELLAN, which, if properly executed, as it was judiciously planned, will redound to the credit of our young commander, and place him in an exalted position as a strategist, as he is now acknowledged to hold as an organizer of large armies.",91658460,Historical Newspapers,," Copyright New York Times Company Jul 2, 1862"," 78692834 , 1445998 , 113715", front_page," Jul 2, 1862",0362-4331, English, English, 1," New York, N.Y.","Jul 2, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91658460?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=ANOTHER+INTERESTING+ACCOUNT.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-07-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
UP THE YORK RIVER.,"Old Point was in such a state of excitement all yesterday, owing to the various conflicting rumors afloat respecting the army before Richmond, that I sat up until 12 o'clock, last night, to await the arrival of the John A. Warner, which left the White House at 3 o'clock P.M. The rumors I picked up there were",91648442,Historical Newspapers,," Copyright New York Times Company Jul 2, 1862"," 78692835 , 1445998 , 113715", front_page," Jul 2, 1862",0362-4331, English, English, 1," New York, N.Y.","Jul 2, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91648442?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=UP+THE+YORK+RIVER.%3A+TRIP+TO+THE+WHITE+HOUSE+TREMENDOUS+EXCITEMENT+ON+THE+YORK+RIVER+DESTRUCTIONOF+THE+WHITE+HOUSE+STRATEGY+OR+SURPRISE+GEN.+FRANK+PATTERSON+ACCIDENT+TO+COL.+W.+WALL%2C+OF+WASHINGTON+GENS.+STONEMAN+AND+CASEY+THE+JAMES+RIVER+HENCEFORTH+THE+POINT+OF+INTEREST+IMPORTANT+DISPATCH+FROM+GEN.+MCCLELLAN+ALL+BRIGHT+AHEAD.+FROM+ANOTHER+CORRESPONDENT.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-07-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
AFFAIRS BEFORE RICHMOND.,"On Thursday evening at 7, I left Fair Oaks for the White House. The train had left the station at Savage's, early in the evening, so I turned my horse's head toward Bottom's Bridge, and concluded to ride the short distance of twenty miles. A battle had been fought on our right that day, but it was impossible to ascertain, at headquarters, any of the particulars.",91646256,Historical Newspapers,," Copyright New York Times Company Jul 2, 1862"," 78692833-1 , 1445998 , 113715", front_page," Jul 2, 1862",0362-4331, English, English, 1," New York, N.Y.","Jul 2, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91646256?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=AFFAIRS+BEFORE+RICHMOND.%3A+FURTHER+DETAILS+OF+THE+EVENTS+OF+LAST+WEEK.+INTERESTING+PARTICULARS+FROM+OUR+SPECIAL+CORRESPONDENT.+THE+OPERATIONS+OF+STONEWALL+JACKSON+ON+OUR+RIGHT+AND+REAR.+DEVELOPMENTS+OF+DESERTERS+FROM+HIS+COMMAND.+ROBEL+PLANS+OF+ATTACK+ON+OUR+RIGHT%2C+LEFT+AND+CENTRE.+THEIR+PLANS+DEFEATED+BY+THE+STRATEGIC+MOVEMENTS+OF+GEN.+MECLELLAN.+SCENES+AT+WHITE+HOUSE.+EXCITING+TIMES.+DESERTERS+FROM+THE+REBELS.+GEN.+STONEMAN%27S+FORCE.+OUR+LOSS+ON+THURSDAY+AND+FRIDAY.+REMOVAL+OF+THE+SICK.+PREPARATIONS+FOR+LEAVING.+THE+SUTLERS.+THE+TELEGRAPH+AND+THE+REBELS.+THE+STORES+FIRED.+DESTRUCTION+OF+THE+WHITE+HOUSE.+EMBARKING+THE+LAST+TROOPS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-07-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
AFFAIRS BEFORE RICHMOND.,"The Army of the Potomac has no longer need to complain of inactivity, for the comparative quiet of the past month has given place to three days of as desperate, determined and bloody work as the ...",91680907,Historical Newspapers," From Our Special Correspondent.
From Our Special Correspondent."," Copyright New York Times Company Jul 1, 1862"," 78692698-1 , 1445997 , 113715", front_page," Jul 1, 1862",0362-4331, English, English, 1," New York, N.Y.","Jul 1, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91680907?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=AFFAIRS+BEFORE+RICHMOND.%3A+DETAILS+OF+THE+EVENTS+OF+THURSDAY%2C+FRIDAY+AND+SATURDAY.+ATTACK+OF+THE+REBELS+UNDER+JACKSON+UPON+OUR+RIGHT+WING.+THEIR+REPEATED+REPULSE%2C+WITH+TERRIFIC+SLAUGHTER.+IMPORTANT+STRATEGIC+MOVEMENT.+THE+BASE+OF+OPERATIONS+CHANGED+BY+GEN.+MCCLELLAN.+CONCENTRATION+OF+OUR+ARMY+BETWEEN+THE+CHICKAHOMINY+AND+THE+JAMES+RIVERS.+EVACUATION+OF+WHITE+HOUSE.+SUPPLIES+TO+BE+FURNISHED+BY+THE+JAMES+RIVER.+REBEL+PLANS.+POSITION+OF+OUR+FORCES+ON+THE+RIGHT.+MOVEMENTS+OF+THE+REBELS.+THE+FIGHT+COMMENCED.+THE+TROOPS+FIRST+ASSAILED.+OUR+MEN+RETIRE+BEFORE+THE+ENEMY.+HEIGHT+OF+THE+ENGAGEMENT.+AFTER+THE+BATTLE.+THE+LOSS.+TROOPS+ENGAGED.&amp;rft.au=From+Our+Special+Correspondent.&amp;rft.aulast=From+Our+Special+Correspondent.&amp;rft.aufirst=&amp;rft.date=1862-07-01&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
Our Army Before Richmond Successful,"Our advices from the Army of the Potomac are comparatively meagre. But they show conclusively that Gen. McCLELLAN has executed with complete success, though with heavy ...",91653494,Historical Newspapers,," Copyright New York Times Company Jul 1, 1862"," 78692757-1 , 1445997 , 113715", article," Jul 1, 1862",0362-4331, English, English, 4," New York, N.Y.","Jul 1, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91653494?accountid=13567, 4,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=Our+Army+Before+Richmond+Successful%3A+Movement+of+Gen.+McClellar&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=Easter&amp;rft.date=2009-05-01&amp;rft.volume=38&amp;rft.issue=5&amp;rft.spage=672&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Journal+of+Youth+and+Adolescence&amp;rft.issn=00472891,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
