Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
THE RECENT BATTLES IN VIRGINIA,GENERAL : I have the honor to submit the following brief sketch of the operations of this army since the 9th of August:,91692116,Historical Newspapers,," Copyright New York Times Company Sep 10, 1862"," 355639312-1 , 2488712 , 113715", article," Sep 10, 1862",0362-4331, English, English, 8," New York, N.Y.","Sep 10, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91692116?accountid=13567, 8,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+RECENT+BATTLES+IN+VIRGINIA%3A+REPORT+OF+MAJOR-GEN.+POPE.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-09-10&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=8&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE RECENT BATTLES IN VIRGINIA,GENERAL: I have the honor to submit the following brief sketch of the operations of this army since the 9th of August:,91689787,Historical Newspapers,," Copyright New York Times Company Sep 10, 1862"," 355639532 , 2488712 , 113715", article," Sep 10, 1862",0362-4331, English, English, 9," New York, N.Y.","Sep 10, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91689787?accountid=13567, 9,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+RECENT+BATTLES+IN+VIRGINIA%3A+REPORT+OF+MAJOR-GEN.+POPE.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-09-10&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=9&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
CHRONICLE OF THE REBELLION.,"The information received from the seat of war since our last issue is so meagre in its details that it is exceedingly difficult to arrive at any direct conclusion as to the operation of the contending forces. From the remarkable reticence that is observed, and the astonishing success which attends the efforts of the Government to withhold all intelligence of the movement of our forces, it is inferred that some magnificent plans for the annihilation of the Federal army are on the eve of execution, and that a few days will demonstrate the wisdom with which these plans have been devised, and the spirit vigor with which they have been carried out.",91648927,Historical Newspapers,," Copyright New York Times Company Sep 7, 1862"," 78697778 , 1446044 , 113715", article," Sep 7, 1862",0362-4331, English, English, 2," New York, N.Y.","Sep 7, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91648927?accountid=13567, 2,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=CHRONICLE+OF+THE+REBELLION.%3A+NEWS+FROM+THE+REBEL+STATES.+THE+DASH+AT+MANASSAS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-09-07&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE KILLED AND WOUNDED.,"The following is a list of some of the killed and wounded in the recent Bull Run battle: Lieut, Thos.J. Little, 13th Massachusetts wounded in the leg, cheek and arm.",91705118,Historical Newspapers,," Copyright New York Times Company Sep 2, 1862"," 82398233 , 1474703 , 113715", front_page," Sep 2, 1862",0362-4331, English, English, 1," New York, N.Y.","Sep 2, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91705118?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+KILLED+AND+WOUNDED.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-09-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
NEWSPAPER ACCOUNTS.,"The Washington correspondent of the Philadelphia Press, under date of the 31st, gives graphic descriptions of the battles at Bull Run, from which we select the following:",91742811,Historical Newspapers,," Copyright New York Times Company Sep 2, 1862"," 82398231 , 1474703 , 113715", front_page," Sep 2, 1862",0362-4331, English, English, 1," New York, N.Y.","Sep 2, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91742811?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=NEWSPAPER+ACCOUNTS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-09-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE SECOND BATTLE OF BULL RUN,"The Washington Star, of Saturday evening, in speaking of the engagement of Friday, says: ""The battle was continued by the army corps of Generals HEINTZELMAN, McDOWELL and SIGEL, on our de, against a rebel force believed to number from",91704881,Historical Newspapers,," Copyright New York Times Company Sep 1, 1862"," 355637262 , 2488702 , 113715", front_page," Sep 1, 1862",0362-4331, English, English, 1," New York, N.Y.","Sep 1, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91704881?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+SECOND+BATTLE+OF+BULL+RUN&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-09-01&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE GREAT BATTLE OF SATURDAY.,Information has reached Washington from private sources that Gen. POPE came up with and attacked the enemy again shortly after nine o'clock this morning.,91702543,Historical Newspapers,," Copyright New York Times Company Sep 1, 1862"," 355637272 , 2488702 , 113715", front_page," Sep 1, 1862",0362-4331, English, English, 1," New York, N.Y.","Sep 1, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91702543?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+GREAT+BATTLE+OF+SATURDAY.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-09-01&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
Desperate Battles on Thursday. Friday and Saturday.,,91715399,Historical Newspapers,," Copyright New York Times Company Sep 1, 1862"," 355637492-1 , 2488702 , 113715", front_page," Sep 1, 1862",0362-4331, English, English, 1," New York, N.Y.","Sep 1, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91715399?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=Desperate+Battles+on+Thursday.+Friday+and+Saturday.%3A+Defeat+of+the+Rebels+on+the+Bull+Run+Battle-Ground.+Our+Losses+Not+Less+than+Eight+Thousand.+Important+Captures+Made+by+our+Forces.+The+Enemy+Heavily+Reinforced+on+Friday+Night.+Renewal+of+the+Fighting+on+Satturday.+Gen.+Pope+Forced+to+Fall+Backto+Centreville.ARRIVAl+OF+REINFORCEMENTS.No+Fighting+of+Consequence+Yesterday.ARTIAL+LISTS+OF+KILLED+AND+WOUNDED.HEAVY+LOSSES+AMONG+OUR+OFFICERS.Arrival+of+a+Thousand+Prisoners+inWashington.THE+GREAT+BATTLE+OF+FRIDAY.OFFICIAL+DISPATCH+FROM+GEN.+POPE.+HEADQUARTERS+FIELD+OF+BATTLE.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-09-01&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE OPERATIONS OF SUNDAY.,"Gen. POPE's statement that HEINTZELMAN'S Corps would move on the enemy at daylight to-day, is confirmed by the heavy firing heard from that vicinity. Rumors of various successes have reached",91702605,Historical Newspapers,," Copyright New York Times Company Sep 1, 1862"," 355637282 , 2488702 , 113715", front_page," Sep 1, 1862",0362-4331, English, English, 1," New York, N.Y.","Sep 1, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91702605?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+OPERATIONS+OF+SUNDAY.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-09-01&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE SECOND BULL RUN BATTLE,,91743600,Historical Newspapers,," Copyright New York Times Company Aug 31, 1862"," 78697066 , 1446038 , 113715", front_page," Aug 31, 1862",0362-4331, English, English, 1," New York, N.Y.","Aug 31, 1862",New York Times (1857-1922),1862,http://search.proquest.com/docview/91743600?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+SECOND+BULL+RUN+BATTLE&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1862-08-31&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
