Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
GRANT'S ARMY.,"To Maj.-Gen. Dix: A dispatch from Maj.-Gen. Banks, dated May 21, on the Mississippi River, was received to-day. It details the brilliant engineering achievement of Col. BAILEY, in constructing a dam across the falls of Red River for the relief of the gunboat fleet, the particulars of which have already been made public.",91815199,Historical Newspapers,," Copyright New York Times Company May 28, 1864"," 80295265-1 , 1459061 , 113715", front_page," May 28, 1864",0362-4331, English, English, 1," New York, N.Y.","May 28, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91815199?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=GRANT%27S+ARMY.%3A+THE+ADVANCE+UPON+RICHMOND.+HOW+LEE+WAS+OUTFLANKED.+THE+REASON+WHY+IT+WAS+DONE.+HERCULEAN+FEATS+OF+MARCHING+BY+OUR+ARMY.+THE+SPIRITED+CONFLICTS+ON+THE+NORTH+ANNA.+HOW+THE+REBELS+WERE+BEATEN+AND+THE+RIVER+CROSSED.+FULL+DETAILS+FROM+OUR+SPECIAL+CORRESPONDENT.+ARRIVAL+OF+GEN.+BANKS+AT+THE+MISSISSIPPI--+TWO+FIGHTS+WITH+THE+REBELS--NO+FURTHER+NEWS+FROM+GRANT%2C+SHERMAN+OR+BUTLER%2C+DISPATCH+FROM+SECRETARY+STANTON.+DETAILS+OF+THE+MOVEMENT.+GEN.+GRANT%27S+MOVEMENTS--WOUNDED+OFFICERS+ARRIVED+AT+WASHINGTON.+ABANDONMENT+OF+FREDERICKSBURGH+AND+AQULA+CREEK--CAPTURE+OF+GUERRILLAS--INFAMOUS+ATTEMPT+TO+POISON+WOUNDED+SOLDIERS--THE+WRETCH+IN+DURANCE+VILE.+THE+OPERATIONS+OF+MOSEBY--THE+FREDERICKSBURGH+HOSTAGES.+BATTLE+REPORTS+VIA+PHILADELPHIA.+GEN.+BUTLER%27S+ARMY.+SITUATION+OF+AFFAIRS+AT+BERMUDA+HUNDRED.+ALL+QUIET+AT+BERMUDA.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-05-28&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE FLANK MOVEMENT.,"The Army of the Potomac is again on the march toward Richmond. During the night, HANCOCK'S corps, which had held the left of our lines in front of Spottsylvania Court-house, took up its march, ...",91865144,Historical Newspapers," From Our Special Correspondent.
From Our Special Correspondent."," Copyright New York Times Company May 24, 1864"," 78724531-1 , 1446318 , 113715", front_page," May 24, 1864",0362-4331, English, English, 1," New York, N.Y.","May 24, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91865144?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+FLANK+MOVEMENT.%3A+LEE%27S+RIGHT+FLANK+EFFECTUALLY+TURNED+OUR+ADVANCE+EIGHTEEN+MILES+SOUTH+OF+SPOTTSYLVANIA+ON+SATURDAY-LEE+FALLING+BACK+HARD+FIGHTING+EXPECTED.&amp;rft.au=From+Our+Special+Correspondent.&amp;rft.aulast=From+Our+Special+Correspondent.&amp;rft.aufirst=&amp;rft.date=1864-05-24&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
FROM SPOTTSYLVANIA COURT-HOUSE.,"IN THE FIELD, Wednesday, may 18,1864. The centre is the key of our present position... From Ny Run the ground, by a succession of gradations, reaches a very commanding height, and plainly overlooks a large field of open country, which is be-...",91748241,Historical Newspapers," Correspondence of the Washington Chronicle.
Correspondence of the Washington Chronicle."," Copyright New York Times Company May 23, 1864"," 80295107 , 1459058 , 113715", front_page," May 23, 1864",0362-4331, English, English, 1," New York, N.Y.","May 23, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91748241?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=FROM+SPOTTSYLVANIA+COURT-HOUSE.%3A+TOPOGRAPHICAL+FEATURES--WEDNESDAY%27S+BATTLE.&amp;rft.au=Correspondence+of+the+Washington+Chronicle.&amp;rft.aulast=Correspondence+of+the+Washington+Chronicle.&amp;rft.aufirst=&amp;rft.date=1864-05-23&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
RICHMOND.,"To Major-Gen. Dix: On Friday morning, Gen. GRANT commenced a movement for the purpose of compelling LEE to abandon his position at Spottsylvania (the details of which, for obvious reasons, should not be made public. It has thus far progressed successfully.",91813251,Historical Newspapers,," Copyright New York Times Company May 23, 1864"," 80295106 , 1459058 , 113715", front_page," May 23, 1864",0362-4331, English, English, 1," New York, N.Y.","May 23, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91813251?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=RICHMOND.%3A+THE+ONWARD+MARCH+LEE+OUTFLANKED.+BRILLIANT+SUCCESS+OF+GRANT%27S+FLANK+MOVEMENT.+LONGSTREET+AND+EWELL+IN+RETREAT.+HANCOCK+AHEAD+OF+THEM+THE+REBEL+ARMY+BEYOND+THE+NORTH+ANNA.+GRANT%27S+LATEST+MOVEMENT+MANAGED+WITHOUT+SERIOUS+LOSS.+THE+NATIONAL+ARMY+SOUTH+OF+THE+MATTAPONY.+BETTER+NEWS+FROM+RED+RIVER.+SHERMAN+RESTING+AND+REPLENISHING.+BUTLER%27S+POSITION+UNCHANGED.+OFFICIAL.+GRANT%27S+FLANK+MOVEMENT+SO+FAR+SUCCESSFULADVICES+FROM+GENS%2C+CANBY+AND+SHERMANNOTHING+FROM+BUTLER.+GEN.+SHERMAN%27S+PROGRESS+HE+IS+REPLENISHING+SUPPLIES+AT+KINGSTON+CAPTURE+OF+IRONFOUNDRIES+AT+ROME+LATE+NEWS+FROM+GEN.+BANKS-MORE+FIGHTING+IN+BUTLER%27SARMY+A+HARD+BATTLE+ON+FRIDAY.WASHINGTON%2C+SATURDAY%2C+MAY+21%2C1864+9%3A50+P.M.+NO+FIGHTING+SINCE+THURSDAY-+IMPORTANT+MOVEMENTS+GOING+ON.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-05-23&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE REBELLION.,"Secretary STANTON'S official dispatch of last evening conveys, in distinct terms, the very important intelligence that on Friday Gen. GRANT commenced a flank movement for the purpose of compelling LEE to abandon his position at Spottsylvania Court...",91808600,Historical Newspapers,," Copyright New York Times Company May 23, 1864"," 80295130-1 , 1459058 , 113715", article," May 23, 1864",0362-4331, English, English, 4," New York, N.Y.","May 23, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91808600?accountid=13567, 4,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+REBELLION.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-05-23&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=4&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
ANOTHER FIGHT ON THURSDAY.,"WAR DEPARTMENT, WASHINGTON, May 20, 1864--6:30 P.M. This afternoon we have dispatches dated at 8 o'clock this morning from Gen. GRANT.",91821416,Historical Newspapers,," Copyright New York Times Company May 21, 1864"," 90119361 , 1523109 , 113715", front_page," May 21, 1864",0362-4331, English, English, 1," New York, N.Y.","May 21, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91821416?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=ANOTHER+FIGHT+ON+THURSDAY.%3A+THE+REBELS+ATTEMPT+TO+TURN+OUR+RIGHT.+THEY+ARE+SEVERELY+REPULSED.+OFFICIAL+DISPATCH+FROM+SECRETARY+STANTON.+TWENTY-FIVE+THOUSAND+VETERAN+REINFORCEMENTS+JOINED+GEN.+GRANT.LATER+NEWS+FROM+GENERAL+SHERMAN.HIS+CONTINUED+PROGRESS.NEWS+FROM+GEN.+GRANT--ATTEMPT+BY+THEENEMY+TO+TURN+OUR+RIGHT--THE+EFFORT+PROMPTLY+REPULSED--25%2C000+VETERAN+REINFORCEMENTS+FOR+GRANT--LATE+NEWS+FROMSHERMAN--HIS+ARMY+STILL+PROGRESSING.%5BOFFICIAL.%5D&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-05-21&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
IMPORTANT.,"The skirmishing which began yesterday morning at daybreak settled into a heavy engagement, lasting through the forenoon, and culminating in another brilliant charge by HANCOCK on our right, when he drove the enemy a short distance, and carried their first line of intrenchments.",91836667,Historical Newspapers,," Copyright New York Times Company May 20, 1864"," 80294999-1 , 1459057 , 113715", front_page," May 20, 1864",0362-4331, English, English, 1," New York, N.Y.","May 20, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91836667?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=IMPORTANT.%3A+ANOTHER+BATTLE+IN+VIRGINIA.+ANOTHER+BRILLIANT+CHARGE+BY+HANCOCK.+THE+FIRST+LINE+OF+REBEL+WORKS+CARRIED.+LEE%27S+LEFT+FLANK+TURNED.+ALL+THE+RESULTS+CONSIDERED+FAVORABLE.+THE+MOVEMENTS+OF+BOTH+ARMIES+ON+THURSDAY.+THE+BATTLE+NOT+RENEWED.+SPLENDID+SUCCESS+OF+GENERAL+SHERMAN.+ALL+QUIET+WITH+GENERAL+BUTLER.+THE+BATTLE+RENEWED+ON+WEDNESDAY--ANOTHER+GLORIOUS+CHARGE+BY+HANCOCK--THE+FIRST+LINE+OF+REBEL+WORKS+CARRIED--THE+RESULT+OF+THE+DAY%27S+FIGHTING+SOMEWHAT+FAVORABLE--THE+BATTLE+PROBABLY+RENEWED+YESTERDAY.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-05-20&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE GREAT CAMPAIGN.,,91836819,Historical Newspapers," SPECIAL DISPATCHES TO THE N.Y. TIMES
SPECIAL DISPATCHES TO THE N.Y. TIMES"," Copyright New York Times Company May 19, 1864"," 88154425 , 1512547 , 113715", front_page," May 19, 1864",0362-4331, English, English, 1," New York, N.Y.","May 19, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91836819?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+GREAT+CAMPAIGN.%3A+THE+STRUGGLE+IN+VIRGINIA+RENEWED.+THE+BATTLE+AGAIN+OPENED+YESTERDAY+MORNING.+THE+ROADS+IMPROVED+AND+REINFORCEMENTS+ON+HAND.+GEN.+GRANT+%22MOVES+AGAINST+THE+ENEMY+WITHOUT+DELAY.%22+MOST+OF+THE+WOUNDED+REMOVED+FROM+FREDERICKSBURGH.+HANDSOME+VICTORY+IN+WESTERN+VIRGINIA.+THE+REBELS+DEFEATED+BY+GENERAL+CROOK.+ALL+QUIET--RECAPTURE%2C+OF+A+HOSPITAL--SUFFERINGS+OF+THE+WOUNDED.&amp;rft.au=SPECIAL+DISPATCHES+TO+THE+N.Y.+TIMES&amp;rft.aulast=SPECIAL+DISPATCHES+TO+THE+N.Y.+TIMES&amp;rft.aufirst=&amp;rft.date=1864-05-19&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
FROM GEN. GRANT'S ARMY.,"I have just returned from the scene of Gen. HANCOCK's brilliant victory of yesterday morning. At the point at which his assault was made, the rebel breastworks formed an angle or salient, and his men advanced silently and, without firing a shot, entered...",91834269,Historical Newspapers," From Our Special Correspondent.
From Our Special Correspondent."," Copyright New York Times Company May 18, 1864"," 78724363 , 1446316 , 113715", front_page," May 18, 1864",0362-4331, English, English, 1," New York, N.Y.","May 18, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91834269?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=FROM+GEN.+GRANT%27S+ARMY.%3A+THE+LATEST.+ADDITIONAL+CASUALTIES.&amp;rft.au=From+Our+Special+Correspondent.&amp;rft.aulast=From+Our+Special+Correspondent.&amp;rft.aufirst=&amp;rft.date=1864-05-18&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
REPORTS FROM WASHINGTON.,"The rebels up to yesterday occupied their line of entrenchments immediately around and this side of Spottsylvania Court-house. Both armies lay on their arms on Sunday night, expecting an attack. The rebel works bear all appearance of having been but recently thrown up. A few hours' sunshine will remove all impediment to the resumption of active hostilities. LEE'S position is described as being a very strong one in itself, but it can be flanked with.",91821222,Historical Newspapers,," Copyright New York Times Company May 18, 1864"," 78724362 , 1446316 , 113715", front_page," May 18, 1864",0362-4331, English, English, 1," New York, N.Y.","May 18, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91821222?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=REPORTS+FROM+WASHINGTON.%3A+OUR+FORCES+RESTING+AND+RECRUITING+FOR+ANOTHER+STRUGGLE+AN+UNSUCCESSFUL+MOVEMENT+AGAINST+THE+TRAINS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-05-18&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
