Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
IMPORTANT.,,91816169,Historical Newspapers,," Copyright New York Times Company Jun 18, 1864"," 78725277-1 , 1446326 , 113715", front_page," Jun 18, 1864",0362-4331, English, English, 1," New York, N.Y.","Jun 18, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91816169?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=IMPORTANT.%3A+PETERSBURG+CAPTURED.+THE+FORTIFICATIONS+STORMED+BY%2C+GENERAL+SMITH.+BOTH+LINES+CARRIED.+FOUR+HUNDRED+PRISONERS+AND+SIXTEEN+GUNS+TAKEN.+DISTINGUISHED+GALLANTRY+OF+THE+BLACK+LEGION.+GEN.+SMITH+TENDERS+HIS+THANKS+TO+THEM.+PETERSBURGH+UNDER+OUR+GUNS.+THE+REBELS+ON+THE+WEST+SIDE+OF+THE+APPOMATTEX.+THE+ARMY+ALL+ACROSS+THE+JAMES.+HANCOCK+IN+JUNCTION+WITH+SMITH.+GRANT+WELL+AHEAD+OF+LEE.+SECRETARY+STANTON+TO+GENERAL+DIX.+%5BOFFICIAL.%5D&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-06-18&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
GRANT'S LAST MOVEMENT.,The clear and succinct dispatches of the Secretary of War have made the country acquainted with the outline facts of the last great move of Gen. GRANT the transfer of the Army of the Potomac from the Chickahominy to the James River.,91797064,Historical Newspapers," From Our Special Correspondent.
From Our Special Correspondent."," Copyright New York Times Company Jun 18, 1864"," 78725286 , 1446326 , 113715", front_page," Jun 18, 1864",0362-4331, English, English, 1," New York, N.Y.","Jun 18, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91797064?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=GRANT%27S+LAST+MOVEMENT.%3A+ITS+MILITARY+ASPECTS+AND+OBJECTS+ITS+PROBABLE+EFFECT+UPON+THE+CAMPAIGN.&amp;rft.au=From+Our+Special+Correspondent.&amp;rft.aulast=From+Our+Special+Correspondent.&amp;rft.aufirst=&amp;rft.date=1864-06-18&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
REBEL ACCOUNTS.,"Early yesterday morning heavy canonading was heard along the right of our lines, and soon the report came to the city that the enemy were moving off. Later information stated that he had thrown a portion of his forces across to this side of the Chickahominy, and was moving in the direction of Malvern Hill, which position he is reported to have occupied.",91819447,Historical Newspapers,," Copyright New York Times Company Jun 17, 1864"," 90562655 , 1524492 , 113715", front_page," Jun 17, 1864",0362-4331, English, English, 1," New York, N.Y.","Jun 17, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91819447?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=REBEL+ACCOUNTS.%3A+THE+WAR+IN+VIRGINIA--GRANT%27S+LAST+MOVEMENT--THE+REBEL+ARMY+SURPRISED--THE+ATTACK+ON+PETERSBURGH--THE+LATE+FIGHTS+IN+MISSISSIPPI--OPERATIONS+IN+GEORGIA.+THE+WAR+IN+VIRGINIA.+GRANT%27S+MOVEMENTS.+COMMANDANT+OF+CAVALRY.+FROM+GEN.+LEE%27S+ARMY.+AFFAIRS+IN+THE+VALLEY.+THE+ATTACK+ON+PETERSBURGH.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-06-17&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
Grant's Army all South of the James.,"One of Gen. GRANT'S couriers who arrived here this morning from Bermuda Hundred, with dispatches for the Government, says that when he left there on yesterday morning, (Wednesday, the 15th,) fighting was going on in the vicinity of Petersburgh.",91791692,Historical Newspapers,," Copyright New York Times Company Jun 17, 1864"," 90562647-1 , 1524492 , 113715", front_page," Jun 17, 1864",0362-4331, English, English, 1," New York, N.Y.","Jun 17, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91791692?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=Grant%27s+Army+all+South+of+the+James.%3A+A+Battle+at+Petersburgh+on+Wednesday.+GEN.+SMITH%27S+CORPS+ENGAGED.+REBEL+ACCOUNTS+OF+LATE+MOVEMENTS.+The+Enemy+Again+Out-generaled.+CELERITY+OF+THE+MARCH+General+Gillmore+Relieved+by+General+Butler.+THE+ATTACK+ON+PETERSBURGH.+Hard+Fighting+There+Wednesday+Morning--The+Army+of+the+Potomac+All+Across+the+James.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-06-17&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
JAMES RIVER.,"To Major-Gen. Dix: The movement of the Army of the Potomac to the south side of Richmond, across the Chickahominy River and James River, has progressed far enough to admit the publication of some general facts, without danger of premature disclosure.",91815748,Historical Newspapers,," Copyright New York Times Company Jun 16, 1864"," 78725173-1 , 1446325 , 113715", front_page," Jun 16, 1864",0362-4331, English, English, 1," New York, N.Y.","Jun 16, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91815748?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=JAMES+RIVER.%3A+GEN.+GRANT+ON+THE+SOUTH+SIDE.+THE+MOVEMENT+SUCCESSFULLY+EXECUTED.+THE+MARCH+BEGUN+ON+SUNDAY.+THE+RIVER+CROSSED+ON+TUESDAY.+NO+INTERRUPTION+FROM+THE+ENEMY.+IMPORTANT+FROM+GEN.+SHERMAN.+HIS+ARMY+ADVANCING+ON+MARIETTA.DEATH+OF+THE+REBEL+GENERAL+POLK.DISPATCHES+FROM+SECRETARY+STANTON-LATE+INTELLIGENCE+FROM+GEN.+SHERMAN-FIGHTING+GOING+ON+AT+KENESAW+THE+REBEL+GEN.+POLK+KILLED+THE+DISASTER+TO+GEN.+STURGLE+AND+THE+MEANS+TAKEN+TO+REPAIR+IT.%5BOFFICIAL.%5D&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-06-16&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
GRANT'S TACTICS.,"We think it mad be safely asserted that, since war first became known to mankind, no General ever sacrificed his men so recklessly, so remorselessly, and to so little purpose, as Gen. GRANT. He started from his camp on the north side of the Rappahannoek, little more than a month ago, with 130,- 00 men.",91860030,Historical Newspapers," From the Houston Telegraph.From the Richmond Dispatch, June 9.
From the Houston Telegraph.From the Richmond Dispatch, June 9."," Copyright New York Times Company Jun 15, 1864"," 78990978 , 1449476 , 113715", front_page," Jun 15, 1864",0362-4331, English, English, 1," New York, N.Y.","Jun 15, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91860030?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=GRANT%27S+TACTICS.%3A+CAPTURE+OF+TWO+YANKEE+GUNBOATS.+TRIAL+OF+MRS+PATTERSON+ALLEN.&amp;rft.au=From+the+Houston+Telegraph.From+the+Richmond+Dispatch%2C+June+9.&amp;rft.aulast=From+the+Houston+Telegraph.From+the+Richmond+Dispatch&amp;rft.aufirst=June&amp;rft.date=1864-06-15&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
ARMY OF THE POTOMAC,"To Major Gen. Dix, New-York: We have dispatches from the Army of the Potomac as late as 8 o'clock this morning. The movement was at that hour in successful progress.",91844007,Historical Newspapers,," Copyright New York Times Company Jun 14, 1864"," 80296006-1 , 1459070 , 113715", front_page," Jun 14, 1864",0362-4331, English, English, 1," New York, N.Y.","Jun 14, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91844007?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=ARMY+OF+THE+POTOMAC%3A+NEWS+TO+MONDAY+MORNING+AN+IMPORTANT+MOVEMENT+IN+SUCCESSFUL+PROGRESS.+REPORTED+CAPTURE+OF+BOTTOM%27S+BRIDGE.+OUR+ARMY+SAID+TO+BE+SAFELY+ACROSS.+THE+YORK+RIVER+RAILROAD+DEMOLISHED.+ALL+QUIET+AT+BERMUDA+HUNDRED.+SIGNIFICANT+SHIPMENT+OF+SIEGE+GUNS+AND+INTRENCHING+TOOLS.+NEWS+FROM+GEN.+GRANT+TO+MONDAY+MORNING--A+MOVEMENT+IN+SUCCESSFUL+PROGRESS--GEN.+BURBRIDGE%27S+VICTORY+FULLY+CONFIRMED.+%5BOFFICIAL.%5D+THE+POSITION+ON+SUNDAY--ALL+QUIET--UNAUTHORIZED+TRUCES--CASUALTIES.+REPORTED+CAPTURE+OF+BOTTOM%27S+BIRDGE--A+BAYONET+CHARGE--OUR+ARMY+SAID+TO+BE+ALL+ACROSS+THE+CHICKAHOMINY.+ARRIVAL+OF+WOUNDED+AT+WASHINGTON.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-06-14&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE REBELLION.,"The latest intelligence from Gen. GRANT'S army is up to Monday morning, at which time an important movement was reported to be in successful progress. A report comes by way of Washington and Philadelphia, though not confirmed from other sources, that Gen. HANCOCK captured Bottom's Bridge on...",91840859,Historical Newspapers,," Copyright New York Times Company Jun 14, 1864"," 80296048 , 1459070 , 113715", article," Jun 14, 1864",0362-4331, English, English, 4," New York, N.Y.","Jun 14, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91840859?accountid=13567, 4,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+REBELLION.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-06-14&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=4&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE WAR.,"Major-Gen. Dix: A dispatch from Gen. HUNTER, dated 6 o'clock in the morning of the 8th inst., at Staunton, reports that "" we met the enemy at Piedmont last Sunday,...",91831327,Historical Newspapers,," Copyright New York Times Company Jun 13, 1864"," 80295906 , 1459069 , 113715", front_page," Jun 13, 1864",0362-4331, English, English, 1," New York, N.Y.","Jun 13, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91831327?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+WAR.%3A+GRANT%27S+MOVEMENTS+OPERATIONS+ON+THE+JAMES.+REPORTED+CAPTURE+OF+FORT+DARLING.+PROBABLE+CHANGE+OF+BASE+FROM+THE+WHITE+HOUSE.+NOTHING+BEING+LANDED+THERE%2C+AND+THE+TRACK+TORN+UP.+GEN.+HUNTER%27S+VICTORY.+FIFTEEN+HUNDRED+PRISONERS+TAKEN.+GENERAL+HUNTER%27S+FORCES+JOIN+CROOK%27S+AND+AVERILL%27S.+SHERMAN+CLOSE+UPON+THE+REBELS+MORGAN%27S+RAID.+IMPORTANT+FROM+GEN.+HUNTER--A+GREAT+VICTORY+AT+STAUNTON--FIFTEEN+HUNDRED+REBELPRISONERS+TAKEN%2C+AND+THREE+THOUSANDSTAND+OF+ARMS-CAVALRY+FIGHTING+IN+THE+ARMY+OF+THE+POTOMAC--THE+LATEST+FROM+SHERMAN--HE+IS+WITHIN+FIVE+HUNDRED+YARDS+OF+THE+ENEMY.%5BOFFICIAL.%5D+QUIET+IN+THE+ARMY+OF+THE+POTOMAC-LATER+FROM+SHERMAN--THE+REBELS+ON+THE+HILLS+BETWEEN+KENESAW+AND+LOST+MOUNTAIN--+ADVANCE+ON+PETERSBURGH+GEN.+KAUTZ--+THE+REBELS+NEAR+VICKSBURGH--MORGAN%27S+RAID.+%5BOFFICIAL.%5D&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-06-13&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE REBELLION.,"The news this morning from the army East and West, without being of a startling character, is interesting. A dispatch from Gen. GRANT, dated on Saturday afternoon, reports considerable cavalry skirmishing--the rebels making the attack on Gen. WILSON'S lines near the Jenny House. BEAUREGARD'S army is reported to be between Bottom's Bridge and the James River. In the",91861790,Historical Newspapers,," Copyright New York Times Company Jun 13, 1864"," 80295944 , 1459069 , 113715", article," Jun 13, 1864",0362-4331, English, English, 4," New York, N.Y.","Jun 13, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91861790?accountid=13567, 4,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+REBELLION.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-06-13&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=4&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
