Title,Abstract,StoreId,ArticleType,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
The Failure Before Petersburgh Health of the Army Arduous Service of the Cavalry Temper of the Soldiers.,"Sinces the recent unfortunate fiasco this army has sattled down into its wonted quiet. Of course, the failure of the plans laid to capture Petersburgh by surprise, as it were, is the grand topic of conversation among both officers and men, and all feel that there was a serious mistake made by some one. Who shall be held responsible, is the subject under consideration by a competent tribunal. The result of the investigation, it is generally believed, will not be the stereotyped one usually found by coroners' juries upon investigating steamboat explosions and disasters upon railroads. The prevailing opinion is that in the present instance somebody should be held responsible for failing to accomplish such an important result as was reasonably anticipated.",91821792,Historical Newspapers," Copyright New York Times Company Aug 11, 1864"," 78991516 , 1449482 , 113715", article," Aug 11, 1864",0362-4331, English, English, 5," New York, N.Y.","Aug 11, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91821792?accountid=13567, 5,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=The+Failure+Before+Petersburgh+Health+of+the+Army+Arduous+Service+of+the+Cavalry+Temper+of+the+Soldiers.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-08-11&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=5&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
Another Account.,"MY DEAR FRIEND: I know you like to have a word from an old friend. I wish that word were a cheery one, but as a faithful chronicler of events, I must state them as near truth as I can get them. Ere this reaches you, perhaps you may learn of our last exploit before Petersburgh. Every loyal man had heard of the mining operations before Petersburgh, and all true men hoped our cause would be advanced by them, but alas for all human calculations, the 's children have had their father's luck again. On Saturday morning last, as you may have read, we blew one of the forts of the enemy all to smasu, and in the ruins of the fort were buried two ...",91895616,Historical Newspapers," Copyright New York Times Company Aug 7, 1864"," 80297280 , 1459079 , 113715", front_page," Aug 7, 1864",0362-4331, English, English, 1," New York, N.Y.","Aug 7, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91895616?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=Another+Account.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-08-07&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
"Casualties in the Forty-eighth New-York Volunteers in Engagement before Petersburgh, July 30, 1864.",,91865806,Historical Newspapers," Copyright New York Times Company Aug 7, 1864"," 80297285 , 1459079 , 113715", front_page," Aug 7, 1864",0362-4331, English, English, 1," New York, N.Y.","Aug 7, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91865806?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=Casualties+in+the+Forty-eighth+New-York+Volunteers+in+Engagement+before+Petersburgh%2C+July+30%2C+1864.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-08-07&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE ASSAULT AT PETERSBURGH.,The following letters received in this City give interesting unprofessional accounts of the recent assault at Petersburgh:,91864431,Historical Newspapers," Copyright New York Times Company Aug 7, 1864"," 80297278-1 , 1459079 , 113715", front_page," Aug 7, 1864",0362-4331, English, English, 1," New York, N.Y.","Aug 7, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91864431?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+ASSAULT+AT+PETERSBURGH.%3A+INTERESTING+ACCOUNT+FROM+PRIVATE+SOURCES.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-08-07&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE BOMBARDMENT OF PETERSBURGH.,"What advantage GRANT hopes to gain from knocking holes through the dwellings of Petersburgh, no intelligent man can conceive. Knocking two windows into one, and smashing up furniture, do not tend to soften a Southern man's dislike of Northern association, but, on the contrary, intensifies his hatred by adding personal to political wrongs. The fact disclosed of the hurrying of men to Virginia demonstrates one thing, namely, that GRANT is conscious of his weakness. He set out with a force of some two hundred thousand men, all told, and having lost one-third of it, is now holding back until he shall be able to replenish his army, and prepare ...",91872076,Historical Newspapers," Copyright New York Times Company Aug 7, 1864"," 80297302 , 1459079 , 113715", article," Aug 7, 1864",0362-4331, English, English, 2," New York, N.Y.","Aug 7, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91872076?accountid=13567, 2,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+BOMBARDMENT+OF+PETERSBURGH.%3A+WHAT+WAS+THOUGHT+OF+GRANT%27S+INTENTIONS+BEFORE+THE+BATTLE.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-08-07&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
GEN. GRANT'S ARMY,"A flag of truce was allowed by the rebels from 9 until 5 o'clock this morning, to bury the dead and bring off the wounded.",91879647,Historical Newspapers," Copyright New York Times Company Aug 4, 1864"," 78728708 , 1446361 , 113715", front_page," Aug 4, 1864",0362-4331, English, English, 1," New York, N.Y.","Aug 4, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91879647?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=GEN.+GRANT%27S+ARMY%3A+BURYING+THE+DEAD+UNDER+FLAG+OF+TRUCE.+THE+REBELS+CLAIM+TO+HAVE+1%2C200+PRISONERS.+ALLEGED+HEAVY+LOSS+OF+THE+ENEMY.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-08-04&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
FROM PETERSBURGH.,"The exact losses in the battle of yesterday, before Petersburgh, have not yet been officially ascertained, but as near as can be judged, they will foot up about 2,500, not including the missing, and many believe that the figures will turn out to be larger.",91873740,Historical Newspapers," Copyright New York Times Company Aug 3, 1864"," 78728605 , 1446360 , 113715", front_page," Aug 3, 1864",0362-4331, English, English, 1," New York, N.Y.","Aug 3, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91873740?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=FROM+PETERSBURGH.%3A+OUR+LOSS+IN+SATURDAY%27S+BATTLE+2%2C500%2C+NOT+INCLUDING+THE+MISSING.+SOME+OF+THE+WOUNDED+STILL+ON+THE+FIELD.+TWO+HUNDRED+AND+FIFTY-TWO+REBELS+CAPTURED.+A+FLAG+OF+TRUCE+REFUSED%2C+BUT+SUBSEQUENTLY+GRANTED.NATIONAL+PRISONERS+AT+LYNCHBUBGH.+SECOND+DISPATCH.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-08-03&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
ARMY OF THE POTOMAC,"The failure of the assault on the lines of Petersburgh last Saturday morning, seems to have produced, in reflecting minds, a sentiment of despondency out of all proportion with its mere material loss, as compared with other losses in former assaults on the enemy's positions, and seemingly independent of any features of the affair that lie on the surface. This fact invites",91861162,Historical Newspapers," Copyright New York Times Company Aug 3, 1864"," 78728602-1 , 1446360 , 113715", front_page," Aug 3, 1864",0362-4331, English, English, 1," New York, N.Y.","Aug 3, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91861162?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=ARMY+OF+THE+POTOMAC%3A+SATURDAY%27S+ASSAULT.+GENERAL+MILITARY+REVIEW+OF+THE+ACTION.+THE+FAILURE+AND+ITS+CAUSES.+THE+VIRGINIA+CAMPAIGN+AS+IT+NOW+STANDS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-08-03&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
NEWS FROM WASHINGTON.,"Great disgust is expressed by the authorities at the highly colored dispatches published in the extras of yesterday morning, regarding the engagement of Saturday before Petersburgh. It is felt that such reports do infinite damage to the Union cause, as the reaction of despondency is always proportionate to the undue hopes excited.",91817295,Historical Newspapers," Copyright New York Times Company Aug 2, 1864"," 78728490-1 , 1446359 , 113715", front_page," Aug 2, 1864",0362-4331, English, English, 1," New York, N.Y.","Aug 2, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91817295?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=NEWS+FROM+WASHINGTON.%3A+FEELING+IN+WASHINGTON.+THE+DESTRUCTION+OF+CHAMBERSBURGH.+THE+FAILURE+BEFORE+PETERSBURGH.+GEN.+GRANT%27S+CONFIDENCE.+RUMORED+REBEL+MOVEMENTS.+REVENUE+DECISIONS.+THE+RESERVE+CORPS.+BIDS+FOR+SUPPLIES+TO+THE+NAVY-YARDS.+GEN.+BURNSIDE+WOUNDED.+REPORTED+DEATH+OF+COL.+CURTIN.+DEATH+OF+GEN.+SHERMAN%27S+FATHER.+ARRIVAL+OF+SICK+AND+WOUNDED.+SUBSCRIPTIONS+TO+THE+NEW+LOAN.+MAILS+FOR+THE+WEST+GULF+SQUADRON.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-08-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE PETERSBURG LINES,,91810166,Historical Newspapers," Copyright New York Times Company Aug 2, 1864"," 78728486 , 1446359 , 113715", banner," Aug 2, 1864",0362-4331, English, English, 1," New York, N.Y.","Aug 2, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91810166?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+PETERSBURG+LINES&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-08-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
